e,estimate,se,t_stat,p_value,lo,hi
-19,-0.009986574268621554,0.09886318014632964,-0.10101409092687691,0.9195593030241188,-0.20375484675252287,0.1837816982152798
-18,-0.2709474139119493,0.09712299713833834,-2.7897348917890374,0.005374265774704358,-0.4613049903736791,-0.0805898374502195
-17,-0.03782717341829822,0.23754522095036026,-0.1592419888177963,0.8735100290174769,-0.5034072511806137,0.42775290434401725
-16,0.11194033113393,0.1571604990219963,0.712267597968512,0.4764634204338979,-0.19608858674152507,0.41996924900938504
-15,0.12004560253242288,0.11931641507250469,1.006111375869574,0.3146027334478979,-0.11381027377411829,0.35390147883896406
-14,0.04536125421390631,0.16645566512725493,0.2725125286617776,0.7852836063850391,-0.2808858544581731,0.3716083628859857
-13,-0.0810151839787531,0.1418623398011445,-0.5710830943033657,0.5680702364039267,-0.35906026075157926,0.19702989279407304
-12,0.07712840090986527,0.12998534746051135,0.5933622705689681,0.5530714496967115,-0.17763819863066188,0.33189500045039244
-11,0.1340687080449253,0.09916646921331354,1.351956050351402,0.17669173949776332,-0.06029400008716926,0.3284314161770199
-10,0.11748296569615337,0.08052002272572753,1.4590528134391043,0.14486118393900738,-0.040333378880619206,0.2752993102729259
-9,-0.06549291662613842,0.08083737652223358,-0.8101811246697892,0.4180267396112892,-0.22393126321441992,0.09294542996214307
-8,0.022262745478007055,0.10715964795233557,0.2077530666012405,0.8354636211893354,-0.18776630510456194,0.23229179606057604
-7,0.07600853626596676,0.10216264563211161,0.7439953790906515,0.4570521471381883,-0.12422656973830018,0.2762436422702337
-6,0.11362519477865338,0.12307541112552121,0.9232160489211787,0.35611490335078144,-0.1275981784098284,0.35484856796713515
-5,0.049131984194422586,0.1045669393975953,0.4698615497160899,0.6385552644047,-0.1558154509984466,0.2540794193872918
-4,-0.19709388074352424,0.20600058260133894,-0.9567637054937299,0.3389152596122481,-0.600847603436417,0.20665984194936843
-3,0.10458512857688912,0.08931005319494452,1.1710342210703024,0.24186094948646814,-0.07045935914255846,0.2796296162963367
-2,0.015698959015206952,0.1132410367593436,0.13863312686345233,0.8897676726593713,-0.2062493946050828,0.2376473126354967
0,0.02425337309167,0.06693669713240523,0.3623329822159468,0.7171789392906844,-0.10694014253190973,0.15544688871524973
1,0.19008059663452093,0.05820483296197309,3.265718445729517,0.001128544362901651,0.0760012203028839,0.30415997296615793
2,0.13578734956724667,0.10538160698022718,1.2885298816208461,0.19785636237083923,-0.07075680474695331,0.3423315038814466
3,0.09349499972033387,0.1307058887521908,0.7153082436675354,0.4745837494901619,-0.16268383480125898,0.3496738342419267
4,0.14427386598770808,0.11188896320471528,1.2894378663938502,0.19754081458495373,-0.07502447216106109,0.3635722041364773
5,0.17949077666766375,0.11517307400600804,1.5584439177016371,0.11944101310669737,-0.046244300372878216,0.40522585370820574
6,0.17794255243201337,0.11777398061707595,1.5108817032394135,0.13113107183746692,-0.052890207893373814,0.40877531275740053
7,0.1301278513136549,0.10330566654177067,1.2596390466251812,0.20809031258317615,-0.07234753450712003,0.33260323713442985
8,-0.3155365533412784,0.43797969903836526,-0.7204364814946336,0.47142282856499484,-1.173960989416166,0.5428878827336093
9,0.07956081969809319,0.1305424928129093,0.6094630030707169,0.5423545258420832,-0.1762977646672878,0.3354194040634742
10,0.12680364770818733,0.12397307714163183,1.0228321392984523,0.3066318962206048,-0.11617911854201679,0.36978641395839146
11,0.0574947637720747,0.1433259165446496,0.4011470162422694,0.6883966546873277,-0.2234188707066319,0.3384083982507813
12,0.12731517466024844,0.13212705533601743,0.963581412879204,0.33548624439824204,-0.1316490951816764,0.3862794445021733
13,0.04965980893829057,0.1670611436243948,0.29725529145150115,0.7663326761525627,-0.2777740157815964,0.37709363365817755
14,0.137728536974904,0.12909278601429716,1.066895689737848,0.28627364182372267,-0.11528867427705436,0.39074574822686237
15,0.15521973380392012,0.12615113014599733,1.230426819199171,0.21882351957421534,-0.09203193789125963,0.4024714054990999
16,0.1503274376465858,0.13039483777555613,1.1528634124714272,0.24923895353310552,-0.10524174816344706,0.40589662345661864
17,0.14625871707902324,0.11036533245337637,1.3252233634217516,0.18539648590772664,-0.07005335967138399,0.36257079382943047
18,0.17090153290744145,0.12487348128325063,1.368597488843811,0.17142915653882718,-0.07384599303186623,0.41564905884674913
19,0.19213130399732803,0.12439278659723536,1.54455342028328,0.12276726155994226,-0.051674077669829954,0.435936685664486
20,0.24487625327581591,0.11350087467862562,2.157483402389416,0.03120304663256323,0.022418626691915605,0.4673338798597162
21,0.23486862040714623,0.12487223852108222,1.880871386537155,0.060276640588876385,-0.009876469763069995,0.47961371057736246
22,0.25880589038881124,0.11584314823649734,2.23410615412878,0.025694073423640402,0.031757491989541864,0.4858542887880806
23,0.25844386302337075,0.12291724248214754,2.1025842900836884,0.03574889475621071,0.017530494679384945,0.49935723136735655
24,0.23157649188881443,0.13656154431255144,1.6957664989405816,0.090237991358817,-0.03607921663695693,0.4992322004145858
