egt,att,se,crit_val,method,t_stat,p_value_ptwise,ci_lo,ci_hi
-79,-0.22243274356437312,0.04246376371896713,1.9599639845400534,analytic,-5.238177779917796,2.5886972011203987e-5,-0.3056601911015673,-0.13920529602717896
-78,-0.10668048351410639,0.13064591204051154,1.9599639845400534,analytic,-0.8165619715757061,0.42255620767528,-0.3627417658408967,0.14938079881268393
-77,0.10933451044085002,0.033243247229969866,1.9599639845400534,analytic,3.2889239033869533,0.0032147628825336047,0.04417894314094818,0.17449007774075187
-76,0.03783591823007709,0.019367204376307866,1.9599639845400534,analytic,1.9536076294192581,0.06301600510453673,-1.2310482871283335e-4,0.07579494128886702
-75,-0.15305994206732285,0.019090827488899214,1.9599639845400534,analytic,-8.017459806617756,4.131638773913697e-8,-0.19047727638063253,-0.11564260775401317
-74,0.04992973105547832,0.02255282141331569,1.9599639845400534,analytic,2.21390176157732,0.03702627833541709,0.005727013335615858,0.09413244877534079
-73,0.06937504035688806,0.017007761237310404,1.9599639845400534,analytic,4.0790224762032805,4.6223522055837486e-4,0.03604044087410329,0.10270963983967282
-72,0.03916658005850251,0.022719308902361793,1.9599639845400534,analytic,1.7239336032105683,0.09813761884897912,-0.005362447143766817,0.08369560726077183
-71,-0.11480852167089733,0.03211644174531542,1.9599639845400534,analytic,-3.5747584549164313,0.0016063117349036174,-0.17775559080329426,-0.05186145253850041
-70,0.02940560181295749,0.026781364895904942,1.9599639845400534,analytic,1.0979874224951773,0.2835720527479556,-0.023084908839841475,0.08189611246575645
-69,-0.018744990296132483,0.02040957777492601,1.9599639845400534,analytic,-0.9184408664818857,0.36791995292321,-0.05874702767465658,0.021257047082391616
-68,0.1018133023766921,0.08591935214640034,1.9599639845400534,analytic,1.1849868491001843,0.24812276652766946,-0.0665855334052667,0.2702121381586509
-67,0.43637212761241734,0.5277199443883224,1.9599639845400534,analytic,0.8269009580796006,0.4167898816697545,-0.5979399573121744,1.470684212537009
-66,-0.02807202637790672,0.14493867002904245,1.9599639845400534,analytic,-0.19368210272856592,0.848125141847655,-0.3121465996019648,0.2560025468461513
-65,-0.011297521921613214,0.06851053254634877,1.9599639845400534,analytic,-0.16490197202846454,0.8704618885994589,-0.14557569827411596,0.12298065443088954
-64,0.056744593836694,0.027377980508034534,1.9599639845400534,analytic,2.0726362128879936,0.04959625578919055,0.0030847380715067207,0.11040444960188128
-63,-0.0554628413870725,0.05205786728600244,1.9599639845400534,analytic,-1.0654074836059526,0.2977487615415531,-0.1574943863796031,0.04656870360545813
-62,0.0507444254153535,0.031603587771847644,1.9599639845400534,analytic,1.6056539460547083,0.1219939661186852,-0.011197468399718316,0.11268631923042531
-61,-0.11670378488109155,0.046924584812507046,1.9599639845400534,analytic,-2.4870499195122533,0.02057287416330184,-0.20867428110310055,-0.024733288659082572
-60,0.08024121603987006,0.05661509980213545,1.9599639845400534,analytic,1.4173112176840754,0.16979692922659045,-0.03072234055345613,0.19120477263319624
-59,-0.020959487512124418,0.0527634267807372,1.9599639845400534,analytic,-0.3972351454582984,0.6948564321989581,-0.12437390370328547,0.08245492867903662
-58,0.004532010479999881,0.04192931690998694,1.9599639845400534,analytic,0.10808691421634926,0.914864139852469,-0.07764794055994077,0.08671196151994053
-57,0.16471756818016006,0.10723242798013038,1.9599639845400534,analytic,1.5360798154330833,0.13816237311629825,-0.0454541286356806,0.3748892649960007
-56,-0.05460603247248967,0.07080630848880609,1.9599639845400534,analytic,-0.771202928636259,0.4484375992640439,-0.19338384698878225,0.08417178204380292
-55,-0.07156571668592052,0.058720309610763466,1.9599639845400534,analytic,-1.2187557790533599,0.23529029263339668,-0.18665540868405806,0.043523975312217036
-54,0.006355685871396562,0.05419438936704721,1.9599639845400534,analytic,0.11727571701843226,0.9076596688660827,-0.09986336545215638,0.11257473719494951
-53,0.05468505745580289,0.05255327366630004,1.9599639845400534,analytic,1.0405642434958313,0.30889331721761626,-0.0483174661998224,0.15768758111142817
-52,0.0017397350701863663,0.03513633267662358,1.9599639845400534,analytic,0.049513848989249314,0.9609372774637761,-0.06712621152481367,0.0706056816651864
-51,0.010072620791787102,0.02180604544546664,1.9599639845400534,analytic,0.4619187287753336,0.6484790828469948,-0.03266644292657117,0.05281168451014538
-50,-0.035119731893708706,0.032721723091194414,1.9599639845400534,analytic,-1.0732849182737447,0.2942755036457003,-0.09925313066454239,0.029013666877124977
-49,0.043906617400769274,0.04046675479769589,1.9599639845400534,analytic,1.085004656792228,0.289161886146725,-0.03540676457392808,0.12321999937546663
-48,0.01852262229552816,0.043645786232454076,1.9599639845400534,analytic,0.42438512155281405,0.6752283155725372,-0.06702154679701594,0.10406679138807226
-47,-0.022154373084645608,0.025302819909211124,1.9599639845400534,analytic,-0.87556933038047,0.390316720027455,-0.07174698881400243,0.027438242644711217
-46,-0.037400679334243604,0.03600961215631446,1.9599639845400534,analytic,-1.038630440447141,0.30977299656356727,-0.10797822225787562,0.03317686358938842
-45,-0.017779861502037413,0.03027634003834115,1.9599639845400534,analytic,-0.5872526692302131,0.5627551976634197,-0.07712039756087408,0.04156067455679926
-44,0.016123899159822,0.04056371209139007,1.9599639845400534,analytic,0.3974956513717197,0.6946670310338643,-0.06337951561855443,0.09562731393819843
-43,-0.007501346799427901,0.046336066009650546,1.9599639845400534,analytic,-0.1618900231596177,0.8728062381973785,-0.09831836736361352,0.08331567376475771
-42,-0.05312064915141368,0.04763317014454538,1.9599639845400534,analytic,-1.1152028930725428,0.2762807299924785,-0.14647994710419115,0.0402386488013638
-41,0.04544555687613101,0.04934559757321921,1.9599639845400534,analytic,0.920964769120461,0.36662851609879876,-0.0512700371629857,0.14216115091524772
-40,0.016259750395348813,0.03639563839799912,1.9599639845400534,analytic,0.44674997090428026,0.6592339236192633,-0.05507439005907251,0.08759389084977014
-39,-0.033272690246140414,0.02867343626595105,1.9599639845400534,analytic,-1.160401213776071,0.257789077907797,-0.0894715926404091,0.022926212148128275
-38,-0.022601694966858966,0.02570279522631565,1.9599639845400534,analytic,-0.8793477428368709,0.38830795697605547,-0.07297824791244564,0.027774857978727717
-37,0.03464868845953498,0.021440476304476534,1.9599639845400534,analytic,1.616040985633361,0.11972084349323668,-0.007373872908623444,0.07667124982769341
-36,-0.034549259978702763,0.01764593525411438,1.9599639845400534,analytic,-1.9579160572204384,0.06247922427325812,-0.06913465755029258,3.613759288705748e-5
-35,0.025008761933564713,0.028072299122912467,1.9599639845400534,analytic,0.8908697440158255,0.3822239256769925,-0.03001193331057905,0.08002945717770847
-34,-0.009480786578650884,0.04480338845088887,1.9599639845400534,analytic,-0.21160869537899407,0.8342762082144146,-0.09729381432775083,0.07833224117044907
-33,-0.0058740907401899686,0.028273235898160567,1.9599639845400534,analytic,-0.2077615297148259,0.83724382952704135,-0.06128861482698963,0.04954043334660969
-32,-0.036715989063998346,0.04024540983207309,1.9599639845400534,analytic,-0.912302526355142,0.3710734235092943,-0.11559554287791576,0.042163564749919065
-31,0.028154462075203356,0.031360321356536214,1.9599639845400534,analytic,0.897773391895913,0.3786085669626367,-0.033310638327209895,0.0896195624776166
-30,-0.05343762526067274,0.04006986407169298,1.9599639845400534,analytic,-1.333611343553903,0.19538890227110223,-0.13197311570660644,0.025097865185260963
-29,0.009843261142341275,0.03863017240892679,1.9599639845400534,analytic,0.2548075902469092,0.8011362548206957,-0.06587048549572812,0.08555700778041066
-28,0.019983032764484522,0.04134105681029206,1.9599639845400534,analytic,0.48337014837776593,0.6334027206161087,-0.061043949666512214,0.10101001519548125
-27,-0.02781815398241442,0.03233301210419314,1.9599639845400534,analytic,-0.8603638254540099,0.3984685134945526,-0.09118969321833059,0.03555338525350175
-26,0.019168077837042975,0.01763387735732465,1.9599639845400534,analytic,1.087003014063782,0.28829635845321644,-0.015393686691109673,0.053729842365195624
-25,-0.05171064704989461,0.015706260972366447,1.9599639845400534,analytic,-3.2923588332623646,0.00318830782482499,-0.08249435288751988,-0.02092694121226933
-24,0.02682633838532132,0.04259663359356758,1.9599639845400534,analytic,0.6297760203607335,0.535047939285323,-0.05666152932072008,0.11031420609136272
-23,-0.033388221266537656,0.020097749449775916,1.9599639845400534,analytic,-1.6612915465970208,0.11022709979769209,-0.07277908635840813,0.006002643825332811
-22,-0.006533504192949777,0.02423040493951961,1.9599639845400534,analytic,-0.269640734822953,0.7898410777664073,-0.05402422520522962,0.04095721681933007
-21,-0.03204558885120023,0.041584534884435156,1.9599639845400534,analytic,-0.7706131363560038,0.4487803426471657,-0.11354977953854262,0.04945860183614215
-20,0.07603574939000535,0.034697701825665866,1.9599639845400534,analytic,2.1913771053782516,0.03881455806055412,0.008029503465390594,0.14404199531462009
-19,-0.009751956218464293,0.025603429057715163,1.9599639845400534,analytic,-0.380884771195353,0.7067841869269211,-0.05993375505231229,0.0404298426153837
-18,-0.018858358578132124,0.024044110830880396,1.9599639845400534,analytic,-0.784323392566961,0.44085402906158566,-0.06598394984694711,0.02826723269068287
-17,-0.018321026732219886,0.048533379870051394,1.9599639845400534,analytic,-0.377493320705762,0.7092680508639366,-0.11344470332552184,0.07680264986108207
-16,0.02404697680137151,0.025364997090665812,1.9599639845400534,analytic,0.9480378300623055,0.35296558666785105,-0.02566750396429672,0.07376145756703974
-15,-0.04038452399239772,0.02225963319729891,1.9599639845400534,analytic,-1.8142493020638888,0.08270659695108273,-0.08401260336817573,0.003243555383380302
-14,-0.0019483304135284995,0.024213740850868345,1.9599639845400534,analytic,-0.08046383355336147,0.9365644186381419,-0.049406390412216686,0.04550972958515968
-13,-0.02988723467590288,0.038919977612453464,1.9599639845400534,analytic,-0.7679150017378139,0.45035031810345727,-0.10616898907541686,0.04639451972361109
-12,0.004759655172596942,0.032610801782465816,1.9599639845400534,analytic,0.14595333179315187,0.8852298796547345,-0.059156341828010633,0.06867565217320451
-11,-0.016294821907304545,0.020842090718275093,1.9599639845400534,analytic,-0.7818228088325448,0.44229328302882154,-0.05714456907764026,0.02455492526303117
-10,0.04526629146589194,0.05229315990293233,1.9599639845400534,analytic,0.865625476638172,0.3956354025304022,-0.05722641858164946,0.14775900151343335
-9,-0.03520770841886198,0.04656589154909232,1.9599639845400534,analytic,-0.7560836321955541,0.4572737490738642,-0.12647517876308095,0.056059761925357
-8,0.024576548087416307,0.033909798964890124,1.9599639845400534,analytic,0.7247624237720378,0.47590697086231626,-0.041885436606761924,0.09103853278159454
-7,0.03268739586224656,0.02711327826741474,1.9599639845400534,analytic,1.2055862644072406,0.24023403076674582,-0.020453653044698872,0.08582844476919199
-6,0.02525534710114835,0.042966390004892656,1.9599639845400534,analytic,0.587793088930033,0.5623984848315925,-0.05895722985414298,0.10946792405643968
-5,0.005594592875127074,0.03702677085208658,1.9599639845400534,analytic,0.15109588944378063,0.8812174854881045,-0.06697654445878005,0.07816573020903421
-4,6.171349618789082e-5,0.03667607066537409,1.9599639845400534,analytic,0.001682663793266016,0.9986719387984594,-0.07182206410239128,0.07194549109476706
-3,4.552522977858513e-4,0.021923894844986382,1.9599639845400534,analytic,0.020765119564964508,0.9836121181990711,-0.04251479199923079,0.0434252965948025
-2,-0.07271372532251073,0.0728376306994543,1.9599639845400534,analytic,-0.9982988823805262,0.3285221563112417,-0.2154728582126701,0.07004540756764864
-1,-0.03062616547635119,0.07023261476097685,1.9599639845400534,analytic,-0.43606756747675474,0.6668534036589415,-0.16827956094794194,0.10702722999523956
0,-0.08022118387013658,0.06830285293099653,1.9599639845400534,analytic,-1.1744924322733727,0.2522152893630539,-0.2140923156562258,0.05364994791595265
1,0.018775488092593235,0.03865057841043283,1.9599639845400534,analytic,0.4857750870689486,0.6317224111638455,-0.056978253573496465,0.09452922975868293
2,0.0750037977278193,0.0651163125912819,1.9599639845400534,analytic,1.1518434435714837,0.2612182815996691,-0.0526218297571452,0.20262942521278382
3,0.04722576496112167,0.052132003745628173,1.9599639845400534,analytic,0.905888160208729,0.37438775261185675,-0.05495108482221671,0.14940261474446004
4,-0.00444340745519731,0.05471876092086348,1.9599639845400534,analytic,-0.081204460415753,0.935981859461072,-0.11169020813874746,0.10280339322835284
5,0.06516537890865004,0.1155693892297703,1.9599639845400534,analytic,0.5638636609828483,0.5783041251835794,-0.16134646169699088,0.29167721951429093
6,0.07431395980453567,0.13383730113587303,1.9599639845400534,analytic,0.5552559650697929,0.5840802833719851,-0.18800233020981702,0.33663024981888834
7,0.003629660447933475,0.12614422276475087,1.9599639845400534,analytic,0.028773893630487605,0.977293141289803,-0.24360847302877575,0.2508677939246427
8,-0.03957699957824112,0.2032451377928616,1.9599639845400534,analytic,-0.19472544341295012,0.8473177055498833,-0.43793014968513033,0.3587761505286481
9,-0.01724266539988016,0.1736446671096037,1.9599639845400534,analytic,-0.09929856002428611,0.921761633574361,-0.3575799590421502,0.3230946282423898
10,-0.02119681264333602,0.15372508698608714,1.9599639845400534,analytic,-0.13788779085390554,0.8915291671897342,-0.3224924466563537,0.28009882136968167
11,-0.0619227756632942,0.15227854150047537,1.9599639845400534,analytic,-0.4066415074188302,0.6880304856224939,-0.36038323262251376,0.2365376812959254
12,-0.08144242540269975,0.15289262142002977,1.9599639845400534,analytic,-0.5326772779894946,0.5993662692716757,-0.3811064568878752,0.2182216060824757
13,-0.012833398476522123,0.14054405915139456,1.9599639845400534,analytic,-0.09131227996409254,0.9280350854852618,-0.2882946926543224,0.2626278957012781
14,-0.024011828775192645,0.11395593251583282,1.9599639845400534,analytic,-0.21071152896630888,0.8349680399290096,-0.24736135233090176,0.19933769478051647
15,-0.13204229049435948,0.11360708358588079,1.9599639845400534,analytic,-1.1622716324245985,0.2570440303392083,-0.35470808271131726,0.09062350172259834
16,-0.16147123179072542,0.11026548624568512,1.9599639845400534,analytic,-1.464385976868116,0.15662410494177614,-0.3775876135700649,0.05464514998861403
17,-0.030278147027672935,0.1747070269708597,1.9599639845400534,analytic,-0.17330812362071266,0.8639254487922845,-0.37269762773662574,0.31214133368127983
18,-0.06440113641563452,0.10543005124873431,1.9599639845400534,analytic,-0.6108423134851475,0.547293723196969,-0.2710402397513658,0.1422379669200968
19,-0.02680145209873322,0.15886318087789972,1.9599639845400534,analytic,-0.16870776444626578,0.8675013888410847,-0.3381675650888888,0.2845646608914223
20,-0.06653359900050748,0.14231959876136446,1.9599639845400534,analytic,-0.4674942845508455,0.6445453513575656,-0.34547488686697303,0.21240768886595807
21,5.472256869562125e-4,0.17792955781977093,1.9599639845400534,analytic,0.0030755187258460475,0.9975726152764519,-0.34818829942493185,0.34928275079884424
22,-0.08147556997047684,0.12650762667526402,1.9599639845400534,analytic,-0.6440368230100368,0.525922611962186,-0.32942596202363283,0.1664748220826792
23,-0.04560145270309514,0.15906539324798813,1.9599639845400534,analytic,-0.28668368255313076,0.7769212121028327,-0.35736389465585244,0.2661609892496622
24,-0.0943588608581126,0.14087609173066276,1.9599639845400534,analytic,-0.669800387694704,0.5096542406806712,-0.37047092693297246,0.18175320521674723
25,-0.10046908753252151,0.2678445303231308,1.9599639845400534,analytic,-0.37510225581726236,0.7110212274445029,-0.6254347204219042,0.4244965453568612
26,-0.28152080972652915,0.440990275537155,1.9599639845400534,analytic,-0.6383832600018637,0.5295300913490835,-1.1458458673117473,0.5828042478586891
27,-0.34684411448598584,0.4300699935406121,1.9599639845400534,analytic,-0.8064829439285978,0.4282252735307083,-1.189765812656959,0.4960775836849872
28,-0.3398242584088431,0.3862044213399171,1.9599639845400534,analytic,-0.8799077370213414,0.388010812741044,-1.0967710149052126,0.41712249808752644
29,-0.2576692985928883,0.42860450072846373,1.9599639845400534,analytic,-0.6011819711527737,0.5535982871826904,-1.0977186836324482,0.5823800864466717
30,-0.37562976789715286,0.3165110530298212,1.9599639845400534,analytic,-1.186782465577155,0.24742751738001714,-0.9959800325444493,0.24472049675014362
31,-0.24612397870207808,0.28857781503495517,1.9599639845400534,analytic,-0.8528860012065214,0.40251726691330925,-0.8117261029078513,0.3194781455036952
