egt,att,se,crit_val,method,t_stat,p_value_ptwise,ci_lo,ci_hi
-79,-0.22243274356437312,0.04086359196693567,2.9095123004808077,bootstrap,-5.443298859883687,1.563889673442877e-5,-0.30252391209850726,-0.14234157503023898
-78,-0.10668048351410639,0.17841820156449167,2.9095123004808077,bootstrap,-0.5979237688680843,0.5557331919652981,-0.45637373276691784,0.2430127657387051
-77,0.10933451044085002,0.03289086943660042,2.9095123004808077,bootstrap,3.324159935984677,0.0029532106608117117,0.044869590924904,0.17379942995679604
-76,0.03783591823007709,0.02146457424429486,2.9095123004808077,bootstrap,1.762714591934365,0.09123367156688451,-0.004233874232226861,0.07990571069238105
-75,-0.15305994206732285,0.024957901076500213,2.9095123004808077,bootstrap,-6.1327249273954605,2.9544513895190427e-6,-0.20197652930697668,-0.10414335482766901
-74,0.04992973105547832,0.02455535706865489,2.9095123004808077,bootstrap,2.0333538997571337,0.053713123963383375,0.0018021155733937144,0.09805734653756293
-73,0.06937504035688806,0.015999112694943123,2.9095123004808077,bootstrap,4.336180491985383,2.4357621631629668e-4,0.03801735569020198,0.10073272502357414
-72,0.03916658005850251,0.026494718787066253,2.9095123004808077,bootstrap,1.4782787608835535,0.15289827808782955,-0.012762114544664076,0.09109527466166908
-71,-0.11480852167089733,0.031791931284292196,2.9095123004808077,bootstrap,-3.611247163446849,0.001468998934642549,-0.17711956198708223,-0.052497481354712425
-70,0.02940560181295749,0.026562779187009614,2.9095123004808077,bootstrap,1.107022785753463,0.2797281181182769,-0.022656488722871473,0.08146769234878645
-69,-0.018744990296132483,0.02043313221335052,2.9095123004808077,bootstrap,-0.9173821272435635,0.36846258948301513,-0.05879319352564469,0.021303212933379723
-68,0.1018133023766921,0.09878066097514901,2.9095123004808077,bootstrap,1.030700760367518,0.31339861723838564,-0.0917932355036611,0.2954198402570453
-67,0.43637212761241734,0.6518705749542494,2.9095123004808077,bootstrap,0.6694152863749733,0.5098953294920849,-0.8412707218793289,1.7140149771041635
-66,-0.02807202637790672,0.22511591770301168,2.9095123004808077,bootstrap,-0.12470031734913237,0.9018443003420544,-0.46929111742249224,0.4131470646666788
-65,-0.011297521921613214,0.07980719413355412,2.9095123004808077,bootstrap,-0.14156019446952697,0.8886600429945871,-0.16771674813057552,0.1451217042873491
-64,0.056744593836694,0.03071653457529118,2.9095123004808077,bootstrap,1.8473631424014922,0.07759834126815457,-0.0034587076607560177,0.11694789533414401
-63,-0.0554628413870725,0.06651738144273422,2.9095123004808077,bootstrap,-0.8338097529413611,0.41296437878850145,-0.18583451336074447,0.07490883058659947
-62,0.0507444254153535,0.03243084916746176,2.9095123004808077,bootstrap,1.5646961679395666,0.13131024621192586,-0.012818870940922322,0.11430772177162932
-61,-0.11670378488109155,0.05558754335663501,2.9095123004808077,bootstrap,-2.0994593003031428,0.04694953792554618,-0.22565336784915488,-0.007754201913028225
-60,0.08024121603987006,0.05978777301364879,2.9095123004808077,bootstrap,1.342100767351746,0.19266277790140787,-0.0369406657827373,0.19742309786247741
-59,-0.020959487512124418,0.04974885423989461,2.9095123004808077,bootstrap,-0.4213059342242415,0.6774429393046433,-0.11846545009445059,0.07654647507020176
-58,0.004532010479999881,0.05842918865845688,2.9095123004808077,bootstrap,0.07756415216530532,0.9388455832685236,-0.10998709493647177,0.11905111589647152
-57,0.16471756818016006,0.1259632128729316,2.9095123004808077,bootstrap,1.3076640744811967,0.20390812380674256,-0.08216579242773792,0.41160092878805804
-56,-0.05460603247248967,0.07911397754764708,2.9095123004808077,bootstrap,-0.6902197837240924,0.49696248063727766,-0.20966657913958836,0.10045451419460903
-55,-0.07156571668592052,0.06277379608478,2.9095123004808077,bootstrap,-1.1400571759156715,0.26599606397434167,-0.19460009618495072,0.05146866281310969
-54,0.006355685871396562,0.057756778225650035,2.9095123004808077,bootstrap,0.11004225073922103,0.9133304137710386,-0.10684551931394468,0.11955689105673781
-53,0.05468505745580289,0.06489373882051891,2.9095123004808077,bootstrap,0.8426861889873402,0.4080820354714516,-0.0725043334545629,0.18187444836616867
-52,0.0017397350701863663,0.038610977354333255,2.9095123004808077,bootstrap,0.04505804280012918,0.9644499709347745,-0.07393638995219841,0.07741586009257113
-51,0.010072620791787102,0.025624213080762497,2.9095123004808077,bootstrap,0.39308995597406937,0.6978729235396091,-0.040149913978687515,0.060295155562261726
