treat_definition,optimal_threshold,n_states,n_treated,n_never_treated,rejection_rate_effect0,mde_80,states_included
first_start_date,60,17,7,10,0.7446808510638298,0.6913875598086127,AK;AZ;CT;FL;GA;KS;KY;MN;NC;ND;OH;OK;SC;TX;UT;VA;VT
online_start_date,72,18,3,15,0.25806451612903225,1.4345454545454546,AK;AR;DE;FL;GA;KS;KY;MN;MS;MT;NC;ND;OH;OK;SC;TX;UT;VT
