M,lb,ub,method,Delta
0,-0.07349713523104584,0.3674856761552292,C-LF,DeltaSD
0.5,-0.5418145507593279,0.8352279690166868,C-LF,DeltaSD
1,-1.0382910314742566,1.3330876500139204,C-LF,DeltaSD
1.5,-1.5395067953872148,1.8330002919081743,C-LF,DeltaSD
2,-2.0374247151216123,2.335275295559298,C-LF,DeltaSD
