period,month_fe,diff_trend_coef,diff_trend_t,diff_trend_p,type_i_error
Full (2016-2025),No,-0.026867957151175438,-5.181346204139264,2.3954120436584556e-7,NA
Full (2016-2025),Yes,-0.027357026871484204,-5.418725197043473,6.634131621426275e-8,0.32
