xsite,xfileyear,xfilemonth,N
PHILADELPHIA,2018,5,3524
PHILADELPHIA,2018,6,3204
PHILADELPHIA,2018,7,3400
PHILADELPHIA,2018,8,3884
PHILADELPHIA,2018,9,2982
PHILADELPHIA,2018,10,4196
PHILADELPHIA,2018,11,3150
PHILADELPHIA,2018,12,3314
PHILADELPHIA,2019,1,3732
PHILADELPHIA,2019,2,3196
PHILADELPHIA,2019,3,3032
PHILADELPHIA,2019,4,2910
PHILADELPHIA,2019,5,2200
PHILADELPHIA,2019,6,3382
PHILADELPHIA,2019,7,4268
PHILADELPHIA,2019,8,3734
PHILADELPHIA,2019,9,3296
PHILADELPHIA,2019,10,3940
PHILADELPHIA,2019,11,3050
PHILADELPHIA,2019,12,3374
PHOENIX,2015,1,5485
PHOENIX,2015,2,4034
PHOENIX,2015,3,4299
PHOENIX,2015,4,4664
PHOENIX,2015,5,5008
PHOENIX,2015,6,5593
PHOENIX,2015,7,5969
PHOENIX,2015,8,5778
PHOENIX,2015,9,5546
PHOENIX,2015,10,5579
PHOENIX,2015,11,4971
PHOENIX,2015,12,5067
PHOENIX,2016,1,5617
PHOENIX,2016,2,4250
PHOENIX,2016,3,3981
PHOENIX,2016,4,4555
PHOENIX,2016,5,4887
PHOENIX,2016,6,5274
PHOENIX,2016,7,5672
PHOENIX,2016,8,5734
PHOENIX,2016,9,5472
PHOENIX,2016,10,5478
PHOENIX,2016,11,5174
PHOENIX,2016,12,5034
PHOENIX,2017,1,5610
PHOENIX,2017,2,4716
PHOENIX,2017,3,3917
PHOENIX,2017,4,4491
PHOENIX,2017,5,5038
PHOENIX,2017,6,5405
PHOENIX,2017,7,5778
PHOENIX,2017,8,5899
PHOENIX,2017,9,5770
PHOENIX,2017,10,5713
PHOENIX,2017,11,5269
PHOENIX,2017,12,5106
PHOENIX,2018,1,5638
PHOENIX,2018,2,4915
PHOENIX,2018,3,4150
PHOENIX,2018,4,4624
PHOENIX,2018,5,5411
PHOENIX,2018,6,5624
PHOENIX,2018,7,5962
PHOENIX,2018,8,6154
PHOENIX,2018,9,5879
PHOENIX,2018,10,6234
PHOENIX,2018,11,5720
PHOENIX,2018,12,5424
PHOENIX,2019,1,6139
PHOENIX,2019,2,5200
PHOENIX,2019,3,4313
PHOENIX,2019,4,4966
PHOENIX,2019,5,5603
PHOENIX,2019,6,5658
PHOENIX,2019,7,6065
PHOENIX,2019,8,6226
PHOENIX,2019,9,6084
PHOENIX,2019,10,6209
PHOENIX,2019,11,5792
PHOENIX,2019,12,5917
PITTSBURGH,2016,1,1135
PITTSBURGH,2016,2,997
PITTSBURGH,2016,3,986
PITTSBURGH,2016,4,1059
PITTSBURGH,2016,5,1132
PITTSBURGH,2016,6,1138
PITTSBURGH,2016,7,1255
PITTSBURGH,2016,8,1307
PITTSBURGH,2016,9,1141
PITTSBURGH,2016,10,1248
PITTSBURGH,2016,11,1057
PITTSBURGH,2016,12,889
PITTSBURGH,2017,1,1346
PITTSBURGH,2017,2,1108
PITTSBURGH,2017,3,1135
PITTSBURGH,2017,4,954
PITTSBURGH,2017,5,1200
PITTSBURGH,2017,6,1343
PITTSBURGH,2017,7,1283
PITTSBURGH,2017,8,1449
PITTSBURGH,2017,9,1088
PITTSBURGH,2017,10,1259
PITTSBURGH,2017,11,1097
PITTSBURGH,2017,12,877
PITTSBURGH,2018,1,1213
PITTSBURGH,2018,2,1065
PITTSBURGH,2018,3,946
PITTSBURGH,2018,4,988
PITTSBURGH,2018,5,1251
PITTSBURGH,2018,6,1117
PITTSBURGH,2018,7,1209
PITTSBURGH,2018,8,1336
PITTSBURGH,2018,9,1108
PITTSBURGH,2018,10,1239
PITTSBURGH,2018,11,1038
PITTSBURGH,2018,12,933
PITTSBURGH,2019,1,1252
PITTSBURGH,2019,2,980
PITTSBURGH,2019,3,987
PITTSBURGH,2019,4,947
PITTSBURGH,2019,5,1080
PITTSBURGH,2019,6,1067
PITTSBURGH,2019,7,1291
PITTSBURGH,2019,8,1227
PITTSBURGH,2019,9,1145
PITTSBURGH,2019,10,1155
PITTSBURGH,2019,11,973
PITTSBURGH,2019,12,917
PROVIDENCE,2016,1,1052
PROVIDENCE,2016,2,982
PROVIDENCE,2016,3,1048
PROVIDENCE,2016,4,848
PROVIDENCE,2016,5,1038
PROVIDENCE,2016,6,1084
PROVIDENCE,2016,7,1194
PROVIDENCE,2016,8,1284
PROVIDENCE,2016,9,1186
PROVIDENCE,2016,10,996
PROVIDENCE,2016,11,960
PROVIDENCE,2016,12,938
PROVIDENCE,2017,1,1206
PROVIDENCE,2017,2,952
PROVIDENCE,2017,3,894
PROVIDENCE,2017,4,776
PROVIDENCE,2017,5,1098
PROVIDENCE,2017,6,1046
PROVIDENCE,2017,7,1054
PROVIDENCE,2017,8,1318
PROVIDENCE,2017,9,1088
PROVIDENCE,2017,10,1356
PROVIDENCE,2017,11,1070
PROVIDENCE,2017,12,924
PROVIDENCE,2018,1,1220
PROVIDENCE,2018,2,1096
PROVIDENCE,2018,3,916
PROVIDENCE,2018,4,910
PROVIDENCE,2018,5,1030
PROVIDENCE,2018,6,1036
PROVIDENCE,2018,7,1222
PROVIDENCE,2018,8,1214
PROVIDENCE,2018,9,1010
PROVIDENCE,2018,10,1240
PROVIDENCE,2018,11,1042
PROVIDENCE,2018,12,836
PROVIDENCE,2019,1,1256
PROVIDENCE,2019,2,848
PROVIDENCE,2019,3,986
PROVIDENCE,2019,4,928
PROVIDENCE,2019,5,1008
PROVIDENCE,2019,6,974
PROVIDENCE,2019,7,1370
PROVIDENCE,2019,8,1040
PROVIDENCE,2019,9,1162
PROVIDENCE,2019,10,1094
PROVIDENCE,2019,11,824
PROVIDENCE,2019,12,852
RICHMOND,2016,1,4708
RICHMOND,2016,2,3840
RICHMOND,2016,3,3214
RICHMOND,2016,4,3782
RICHMOND,2016,5,4186
RICHMOND,2016,6,4674
RICHMOND,2016,7,4560
RICHMOND,2016,8,4030
RICHMOND,2016,9,4716
RICHMOND,2016,10,4384
RICHMOND,2016,11,4168
RICHMOND,2016,12,4192
RICHMOND,2017,1,5139
RICHMOND,2017,2,4182
RICHMOND,2017,3,3448
RICHMOND,2017,4,3602
RICHMOND,2017,5,3992
RICHMOND,2017,6,4640
RICHMOND,2017,7,4357
RICHMOND,2017,8,4468
RICHMOND,2017,9,4620
RICHMOND,2017,10,4434
RICHMOND,2017,11,3816
RICHMOND,2017,12,3982
RICHMOND,2018,1,4588
RICHMOND,2018,2,4140
RICHMOND,2018,3,3682
RICHMOND,2018,4,3636
RICHMOND,2018,5,3762
RICHMOND,2018,6,4584
RICHMOND,2018,7,4324
RICHMOND,2018,8,4224
RICHMOND,2018,9,4144
RICHMOND,2018,10,4280
RICHMOND,2018,11,4124
RICHMOND,2018,12,3354
RICHMOND,2019,1,4866
RICHMOND,2019,2,3674
RICHMOND,2019,3,3458
RICHMOND,2019,4,2970
RICHMOND,2019,5,3732
RICHMOND,2019,6,3662
RICHMOND,2019,7,4000
RICHMOND,2019,8,3854
RICHMOND,2019,9,4022
RICHMOND,2019,10,3730
RICHMOND,2019,11,3444
RICHMOND,2019,12,2862
SOUTHBEND,2016,1,310
SOUTHBEND,2016,2,186
SOUTHBEND,2016,3,204
SOUTHBEND,2016,4,219
SOUTHBEND,2016,5,237
SOUTHBEND,2016,6,315
SOUTHBEND,2016,7,286
SOUTHBEND,2016,8,288
SOUTHBEND,2016,9,328
SOUTHBEND,2016,10,229
SOUTHBEND,2016,11,280
SOUTHBEND,2016,12,250
SOUTHBEND,2017,1,317
SOUTHBEND,2017,2,307
SOUTHBEND,2017,3,226
SOUTHBEND,2017,4,234
SOUTHBEND,2017,5,296
SOUTHBEND,2017,6,272
SOUTHBEND,2017,7,262
SOUTHBEND,2017,8,237
SOUTHBEND,2017,9,215
SOUTHBEND,2017,10,246
SOUTHBEND,2017,11,183
SOUTHBEND,2017,12,167
SOUTHBEND,2018,1,273
SOUTHBEND,2018,2,233
SOUTHBEND,2018,3,232
SOUTHBEND,2018,4,265
SOUTHBEND,2018,5,282
SOUTHBEND,2018,6,324
SOUTHBEND,2018,7,336
SOUTHBEND,2018,8,287
SOUTHBEND,2018,9,236
SOUTHBEND,2018,10,283
SOUTHBEND,2018,11,262
SOUTHBEND,2018,12,147
SOUTHBEND,2019,1,234
SOUTHBEND,2019,2,240
SOUTHBEND,2019,3,242
SOUTHBEND,2019,4,229
SOUTHBEND,2019,5,248
SOUTHBEND,2019,6,224
SOUTHBEND,2019,7,245
SOUTHBEND,2019,8,308
SOUTHBEND,2019,9,272
SOUTHBEND,2019,10,289
SOUTHBEND,2019,11,290
SOUTHBEND,2019,12,175
STLOUIS,2012,1,2679
STLOUIS,2012,2,2623
STLOUIS,2012,3,2345
STLOUIS,2012,4,2337
STLOUIS,2012,5,3195
STLOUIS,2012,6,3178
STLOUIS,2012,7,3212
STLOUIS,2012,8,3175
STLOUIS,2012,9,2724
STLOUIS,2012,10,2851
STLOUIS,2012,11,2321
STLOUIS,2012,12,2125
STLOUIS,2013,1,2518
STLOUIS,2013,2,1851
STLOUIS,2013,3,2045
STLOUIS,2013,4,2299
STLOUIS,2013,5,2322
STLOUIS,2013,6,2681
STLOUIS,2013,7,2846
STLOUIS,2013,8,2957
STLOUIS,2013,9,2600
STLOUIS,2013,10,2822
STLOUIS,2013,11,2240
STLOUIS,2013,12,2036
STLOUIS,2014,1,1548
STLOUIS,2014,2,1139
STLOUIS,2014,3,1233
STLOUIS,2014,4,1180
STLOUIS,2014,5,1308
STLOUIS,2014,6,1489
STLOUIS,2014,7,1669
STLOUIS,2014,8,1408
STLOUIS,2014,9,1572
STLOUIS,2014,10,1293
STLOUIS,2014,11,1182
STLOUIS,2014,12,1179
STLOUIS,2015,1,1861
STLOUIS,2015,2,1424
STLOUIS,2015,3,1383
STLOUIS,2015,4,1711
STLOUIS,2015,5,1690
STLOUIS,2015,6,1780
STLOUIS,2015,7,2001
STLOUIS,2015,8,1810
STLOUIS,2015,9,2028
STLOUIS,2015,10,1906
STLOUIS,2015,11,1754
STLOUIS,2015,12,1925
STLOUIS,2016,1,556
STLOUIS,2016,2,271
STLOUIS,2016,3,397
STLOUIS,2016,4,503
STLOUIS,2016,5,514
STLOUIS,2016,6,526
STLOUIS,2016,7,449
STLOUIS,2016,8,601
STLOUIS,2016,9,492
STLOUIS,2016,10,229
STLOUIS,2016,11,418
STLOUIS,2016,12,334
TAMPA,2012,1,1804
TAMPA,2012,2,1265
TAMPA,2012,3,1241
TAMPA,2012,4,1394
TAMPA,2012,5,1604
TAMPA,2012,6,1716
TAMPA,2012,7,1778
TAMPA,2012,8,1869
TAMPA,2012,9,1752
TAMPA,2012,10,1906
TAMPA,2012,11,1534
TAMPA,2012,12,1500
TAMPA,2013,1,1956
TAMPA,2013,2,1452
TAMPA,2013,3,1347
TAMPA,2013,4,1395
TAMPA,2013,5,1566
TAMPA,2013,6,1593
TAMPA,2013,7,2005
TAMPA,2013,8,1953
TAMPA,2013,9,1789
TAMPA,2013,10,1968
TAMPA,2013,11,1523
TAMPA,2013,12,1654
TAMPA,2014,1,1965
TAMPA,2014,2,1395
TAMPA,2014,3,1293
TAMPA,2014,4,1439
TAMPA,2014,5,1572
TAMPA,2014,6,1774
TAMPA,2014,7,1894
TAMPA,2014,8,1716
TAMPA,2014,9,1853
TAMPA,2014,10,1770
TAMPA,2014,11,1337
TAMPA,2014,12,1623
TAMPA,2015,1,1762
TAMPA,2015,2,1258
TAMPA,2015,3,1313
TAMPA,2015,4,1414
TAMPA,2015,5,1438
TAMPA,2015,6,1815
TAMPA,2015,7,1871
TAMPA,2015,8,1497
TAMPA,2015,9,1663
TAMPA,2015,10,1609
TAMPA,2015,11,1347
TAMPA,2015,12,1492
TAMPA,2016,1,3211
TAMPA,2016,2,2626
TAMPA,2016,3,2640
TAMPA,2016,4,2647
TAMPA,2016,5,3009
TAMPA,2016,6,3183
TAMPA,2016,7,3272
TAMPA,2016,8,3390
TAMPA,2016,9,3330
TAMPA,2016,10,2953
TAMPA,2016,11,2872
TAMPA,2016,12,3016
TAMPA,2017,1,3270
TAMPA,2017,2,2679
TAMPA,2017,3,2606
TAMPA,2017,4,2384
TAMPA,2017,5,3055
TAMPA,2017,6,3267
TAMPA,2017,7,2950
TAMPA,2017,8,3382
TAMPA,2017,9,2597
TAMPA,2017,10,3745
TAMPA,2017,11,2760
TAMPA,2017,12,2745
TAMPA,2018,1,3531
TAMPA,2018,2,2546
TAMPA,2018,3,2281
TAMPA,2018,4,2412
TAMPA,2018,5,2817
TAMPA,2018,6,3039
TAMPA,2018,7,3227
TAMPA,2018,8,3496
TAMPA,2018,9,2664
TAMPA,2018,10,3397
TAMPA,2018,11,2656
TAMPA,2018,12,2750
TAMPA,2019,1,3261
TAMPA,2019,2,2556
TAMPA,2019,3,2131
TAMPA,2019,4,2560
TAMPA,2019,5,2871
TAMPA,2019,6,2820
TAMPA,2019,7,3105
TAMPA,2019,8,3336
TAMPA,2019,9,2995
TAMPA,2019,10,3181
TAMPA,2019,11,2575
TAMPA,2019,12,2866
WILMINGTON,2016,1,1047
WILMINGTON,2016,2,755
WILMINGTON,2016,3,757
WILMINGTON,2016,4,852
WILMINGTON,2016,5,909
WILMINGTON,2016,6,972
WILMINGTON,2016,7,929
WILMINGTON,2016,8,1004
WILMINGTON,2016,9,1033
WILMINGTON,2016,10,1018
WILMINGTON,2016,11,853
WILMINGTON,2016,12,927
WILMINGTON,2017,1,905
WILMINGTON,2017,2,865
WILMINGTON,2017,3,738
WILMINGTON,2017,4,828
WILMINGTON,2017,5,969
WILMINGTON,2017,6,1098
WILMINGTON,2017,7,939
WILMINGTON,2017,8,1111
WILMINGTON,2017,9,1013
WILMINGTON,2017,10,982
WILMINGTON,2017,11,915
WILMINGTON,2017,12,861
WILMINGTON,2018,1,985
WILMINGTON,2018,2,1003
WILMINGTON,2018,3,793
WILMINGTON,2018,4,849
WILMINGTON,2018,5,936
WILMINGTON,2018,6,987
WILMINGTON,2018,7,941
WILMINGTON,2018,8,1123
WILMINGTON,2018,9,981
WILMINGTON,2018,10,1106
WILMINGTON,2018,11,849
WILMINGTON,2018,12,901
WILMINGTON,2019,1,1039
WILMINGTON,2019,2,1039
WILMINGTON,2019,3,779
WILMINGTON,2019,4,880
WILMINGTON,2019,5,951
WILMINGTON,2019,6,857
WILMINGTON,2019,7,1105
WILMINGTON,2019,8,1012
WILMINGTON,2019,9,965
WILMINGTON,2019,10,949
WILMINGTON,2019,11,921
WILMINGTON,2019,12,966
