cohort,time,event_time,att,se,n_treated,n_control,n_obs,treatment
70,88,18,1.3044910843328592,0.11584212795236322,8,522,838,Any
70,94,24,1.6401888871249768,0.15886190077767723,8,522,821,Any
70,100,30,1.5324600522502045,0.07376912556433779,8,522,810,Any
70,106,36,1.4532835792393068,0.06907155399388518,8,522,807,Any
71,71,0,0.06884315350028994,0.062227560809810054,72,527,992,Any
71,77,6,-0.14915825215225417,0.07809982483033112,72,527,1005,Any
71,83,12,-0.10259501492975236,0.07648827118766623,72,526,993,Any
71,89,18,-0.048327050291489954,0.090352893946809,72,522,960,Any
71,95,24,0.09595881961089378,0.15399460195770176,72,522,946,Any
81,81,0,0.1601468184366588,0.038743286518458354,1,526,891,Any
81,87,6,0.39705765949884897,0.04292539864404114,1,522,834,Any
81,93,12,0.5191679077577889,0.147853168716096,1,522,826,Any
81,99,18,0.41046929672588567,0.08092515740708527,1,522,813,Any
81,105,24,0.37249051931426985,0.08609957368793147,1,522,807,Any
85,85,0,-0.19546196675772423,0.03252646691474261,4,522,836,Any
85,91,6,-0.06485931205046111,0.1358587419191594,4,522,837,Any
85,97,12,-0.023125490523657997,0.1090004468054467,4,522,801,Any
85,103,18,-0.11704243244355418,0.07050109521256326,4,522,817,Any
85,109,24,-0.11738977764983966,0.051062452399017556,4,522,806,Any
85,115,30,-0.1353121919585223,0.08213110447215417,4,522,778,Any
32,32,0,0.034226736843080696,0.013343333053556438,55,1329,1942,Online
32,38,6,-0.0613914482765313,0.016049257889713776,55,1329,2035,Online
32,44,12,-0.02175543948739543,0.019618290535217804,55,1262,1934,Online
