"state","month","outcome","treated_state","post_treatment"
"10",2025-04-01,8.10965786527592,TRUE,1
"10",2025-05-01,7.87301240568313,TRUE,1
"10",2025-06-01,8.69216976581201,TRUE,1
"10",2025-07-01,9.21096942722697,TRUE,1
"10",2025-08-01,6.93553231575786,TRUE,1
"10",2025-09-01,6.18008719475011,TRUE,1
"12",2016-01-01,4.15381974248927,FALSE,0
"12",2016-02-01,3.50417263239799,FALSE,0
"12",2016-03-01,3.43323381333055,FALSE,0
"12",2016-04-01,3.4817540846426,FALSE,0
"12",2016-05-01,3.87364806866953,FALSE,0
"12",2016-06-01,4.31649638884713,FALSE,0
"12",2016-07-01,4.32824034334764,FALSE,0
"12",2016-08-01,4.50884120171674,FALSE,0
"12",2016-09-01,4.29796181465838,FALSE,0
"12",2016-10-01,3.98145922746781,FALSE,0
"12",2016-11-01,3.84656612548134,FALSE,0
"12",2016-12-01,3.83528794531573,FALSE,0
"12",2017-01-01,4.31565713814637,FALSE,0
"12",2017-02-01,3.56944206008584,FALSE,0
"12",2017-03-01,3.42615036207634,FALSE,0
"12",2017-04-01,3.08333802586708,FALSE,0
"12",2017-05-01,3.87366587279071,FALSE,0
"12",2017-06-01,4.27094636337335,FALSE,0
"12",2017-07-01,4.05707938370313,FALSE,0
"12",2017-08-01,4.56156464756507,FALSE,0
"12",2017-09-01,3.27152114053938,FALSE,0
"12",2017-10-01,5.07435453345388,FALSE,0
"12",2017-11-01,3.94304701362275,FALSE,0
"12",2017-12-01,3.87327160922138,FALSE,0
"12",2018-01-01,4.53685188198007,FALSE,0
"12",2018-02-01,3.50360592605208,FALSE,0
"12",2018-03-01,3.25547320849323,FALSE,0
"12",2018-04-01,3.35956318813897,FALSE,0
"12",2018-05-01,3.84008918562513,FALSE,0
"12",2018-06-01,4.17020539756095,FALSE,0
"12",2018-07-01,4.16539547207357,FALSE,0
"12",2018-08-01,4.51973286929185,FALSE,0
"12",2018-09-01,3.80978540772532,FALSE,0
"12",2018-10-01,4.5835315503073,FALSE,0
"12",2018-11-01,3.70570402192227,FALSE,0
"12",2018-12-01,3.56762059698047,FALSE,0
"12",2019-01-01,4.46957824233201,FALSE,0
"12",2019-02-01,3.66876274257709,FALSE,0
"12",2019-03-01,3.12616484650283,FALSE,0
"12",2019-04-01,3.35458936667276,FALSE,0
"12",2019-05-01,3.81331702290805,FALSE,0
"12",2019-06-01,3.92793428987715,FALSE,0
"12",2019-07-01,4.36043019433158,FALSE,0
"12",2019-08-01,4.55320005966452,FALSE,0
"12",2019-09-01,4.17087108147967,FALSE,0
"12",2019-10-01,4.52326180257511,FALSE,0
"12",2019-11-01,3.57003751390199,FALSE,0
"12",2019-12-01,3.86548841692083,FALSE,0
"12",2020-01-01,4.548669527897,FALSE,0
"12",2020-02-01,3.76867685656092,FALSE,0
"12",2020-03-01,2.64699840822857,FALSE,0
"12",2020-04-01,0.56985223598997,FALSE,0
"12",2020-05-01,0.86692285215546,FALSE,0
"12",2020-06-01,1.03241322976601,FALSE,0
"12",2020-07-01,0.843923099744689,FALSE,0
"12",2020-08-01,3.16991864104694,FALSE,0
"12",2020-09-01,3.64154506437768,FALSE,0
"12",2020-10-01,4.47107296137339,FALSE,0
"12",2020-11-01,3.66504042939803,FALSE,0
"12",2020-12-01,3.91354101666945,FALSE,0
"12",2021-01-01,3.59706285770945,FALSE,0
"12",2021-02-01,3.30178553736749,FALSE,0
"12",2021-03-01,3.21609185460382,FALSE,0
"12",2021-04-01,2.94631083030087,FALSE,0
"12",2021-05-01,2.74382913240315,FALSE,0
"12",2021-06-01,2.82892519377211,FALSE,0
"12",2021-07-01,3.02250852418796,FALSE,0
"12",2021-08-01,3.04522108621365,FALSE,0
"12",2021-09-01,3.44042839857329,FALSE,0
"12",2021-10-01,3.39800526793786,FALSE,0
"12",2021-11-01,3.18214592274678,FALSE,0
"12",2021-12-01,3.03898370124463,FALSE,0
"12",2022-01-01,3.55451944997621,FALSE,0
"12",2022-02-01,3.27467468059205,FALSE,0
"12",2022-03-01,3.77166871432066,FALSE,0
"12",2022-04-01,3.53236051502146,FALSE,0
"12",2022-05-01,3.78517192876957,FALSE,0
"12",2022-06-01,4.39269408273422,FALSE,0
"12",2022-07-01,4.50208554511905,FALSE,0
"12",2022-08-01,5.15123869305166,FALSE,0
"12",2022-09-01,4.39818580841978,FALSE,0
"12",2022-10-01,4.78793725658341,FALSE,0
"12",2022-11-01,4.17577091815475,FALSE,0
"12",2022-12-01,4.11839612386247,FALSE,0
"12",2023-01-01,5.05378196448668,FALSE,0
"12",2023-02-01,4.57239272989556,FALSE,0
"12",2023-03-01,4.43715294492682,FALSE,0
"12",2023-04-01,3.58465930039171,FALSE,0
"12",2023-05-01,4.43255045713013,FALSE,0
"12",2023-06-01,4.80061415956849,FALSE,0
"12",2023-07-01,4.49403288146521,FALSE,0
"12",2023-08-01,5.05235976191347,FALSE,0
"12",2023-09-01,4.79396741099173,FALSE,0
"12",2023-10-01,4.93437997467589,FALSE,0
"12",2023-11-01,4.08525784399416,FALSE,0
"12",2023-12-01,3.87422357668188,FALSE,0
"12",2024-01-01,5.88442319303153,FALSE,0
"12",2024-02-01,5.38533187297292,FALSE,0
"12",2024-03-01,4.52367877329725,FALSE,0
"12",2024-04-01,4.8225267673749,FALSE,0
"12",2024-05-01,5.22604740912442,FALSE,0
"12",2024-06-01,4.93933537419713,FALSE,0
"12",2024-07-01,5.87987220835015,FALSE,0
"12",2024-08-01,5.63411903555533,FALSE,0
"12",2024-09-01,5.17598657762918,FALSE,0
"12",2024-10-01,4.93630138440954,FALSE,0
"12",2024-11-01,4.51457680393448,FALSE,0
"12",2024-12-01,5.03642304740002,FALSE,0
"12",2025-01-01,6.15293128923328,FALSE,0
"12",2025-02-01,5.00911713931171,FALSE,0
"12",2025-03-01,4.66172530863261,FALSE,0
"12",2025-04-01,3.9396357391861,FALSE,0
"12",2025-05-01,5.11274846560926,FALSE,0
"12",2025-06-01,5.51852215335603,FALSE,0
"12",2025-07-01,6.0884926356794,FALSE,0
"12",2025-08-01,5.81294399190717,FALSE,0
"12",2025-09-01,6.19606984591924,FALSE,0
"13",2016-01-01,28.6007725111076,FALSE,0
"13",2016-02-01,21.9808435106834,FALSE,0
"13",2016-03-01,18.7322780146911,FALSE,0
"13",2016-04-01,21.1659112728572,FALSE,0
"13",2016-05-01,24.9503226238585,FALSE,0
"13",2016-06-01,25.7875817723102,FALSE,0
"13",2016-07-01,27.0937060438947,FALSE,0
"13",2016-08-01,27.5514077117149,FALSE,0
"13",2016-09-01,26.4238987251334,FALSE,0
"13",2016-10-01,25.2070820960504,FALSE,0
"13",2016-11-01,23.2758043269553,FALSE,0
"13",2016-12-01,23.9344481904039,FALSE,0
"13",2017-01-01,30.0631851570698,FALSE,0
"13",2017-02-01,24.7270535176048,FALSE,0
"13",2017-03-01,17.3814999218558,FALSE,0
"13",2017-04-01,21.2552189153587,FALSE,0
"13",2017-05-01,26.401571814508,FALSE,0
"13",2017-06-01,26.9820714907678,FALSE,0
"13",2017-07-01,26.7699658398267,FALSE,0
"13",2017-08-01,30.1748197101967,FALSE,0
"13",2017-09-01,27.082542588582,FALSE,0
"13",2017-10-01,28.7012436089218,FALSE,0
"13",2017-11-01,26.6806581973252,FALSE,0
"13",2017-12-01,23.967938556342,FALSE,0
"13",2018-01-01,32.0502802027283,FALSE,0
"13",2018-02-01,24.9726495344839,FALSE,0
"13",2018-03-01,19.6365178950189,FALSE,0
"13",2018-04-01,23.0302083100761,FALSE,0
"13",2018-05-01,26.5913505548237,FALSE,0
"13",2018-06-01,27.942128647659,FALSE,0
"13",2018-07-01,30.2194735314475,FALSE,0
"13",2018-08-01,31.8605014624126,FALSE,0
"13",2018-09-01,29.9627140592556,FALSE,0
"13",2018-10-01,29.5831565786242,FALSE,0
"13",2018-11-01,25.0842840876108,FALSE,0
"13",2018-12-01,26.5913505548237,FALSE,0
"13",2019-01-01,33.1331353680591,FALSE,0
"13",2019-02-01,27.7858402732814,FALSE,0
"13",2019-03-01,20.7640268816004,FALSE,0
"13",2019-04-01,25.6312933979325,FALSE,0
"13",2019-05-01,27.40628279265,FALSE,0
"13",2019-06-01,29.1924356426801,FALSE,0
"13",2019-07-01,30.0966755230079,FALSE,0
"13",2019-08-01,30.8892808502088,FALSE,0
"13",2019-09-01,28.3328495836031,FALSE,0
"13",2019-10-01,28.6789166982965,FALSE,0
"13",2019-11-01,25.4861684788676,FALSE,0
"13",2019-12-01,27.6630422648418,FALSE,0
"13",2020-01-01,30.3757619058251,FALSE,0
"13",2020-02-01,29.3933778383085,FALSE,0
"13",2020-03-01,16.0307218290205,FALSE,0
"13",2020-04-01,3.14809439817812,FALSE,0
"13",2020-05-01,2.96947911317511,FALSE,0
"13",2020-06-01,6.08408314541517,FALSE,0
"13",2020-07-01,7.52416888075197,FALSE,0
"13",2020-08-01,8.40608185045435,FALSE,0
"13",2020-09-01,17.9508361428029,FALSE,0
"13",2020-10-01,16.4995869521534,FALSE,0
"13",2020-11-01,18.0289803299917,FALSE,0
"13",2020-12-01,17.6717497599857,FALSE,0
"13",2021-01-01,16.5219138627788,FALSE,0
"13",2021-02-01,16.0753756502713,FALSE,0
"13",2021-03-01,12.1346759248923,FALSE,0
"13",2021-04-01,10.783897832057,FALSE,0
"13",2021-05-01,11.7774453548862,FALSE,0
"13",2021-06-01,14.9367032083771,FALSE,0
"13",2021-07-01,15.2157895911943,FALSE,0
"13",2021-08-01,17.1805577262274,FALSE,0
"13",2021-09-01,20.3509790350309,FALSE,0
"13",2021-10-01,20.5295943200339,FALSE,0
"13",2021-11-01,17.3145191899797,FALSE,0
"13",2021-12-01,23.4432561566456,FALSE,0
"13",2022-01-01,21.3780169237983,FALSE,0
"13",2022-02-01,14.1887517024269,FALSE,0
"13",2022-03-01,22.3715644466275,FALSE,0
"13",2022-04-01,18.1517783384313,FALSE,0
"13",2022-05-01,26.8146196610775,FALSE,0
"13",2022-06-01,22.5725066422559,FALSE,0
"13",2022-07-01,23.4320927013329,FALSE,0
"13",2022-08-01,27.6072249882784,FALSE,0
"13",2022-09-01,26.6136774654491,FALSE,0
"13",2022-10-01,26.2452834401304,FALSE,0
"13",2022-11-01,23.9456116457166,FALSE,0
"13",2022-12-01,24.3474960369734,FALSE,0
"13",2023-01-01,30.5320502802027,FALSE,0
"13",2023-02-01,27.1606867757708,FALSE,0
"13",2023-03-01,23.5660541650852,FALSE,0
"13",2023-04-01,22.9743910335127,FALSE,0
"13",2023-05-01,16.477260041528,FALSE,0
"13",2023-06-01,27.3616289713992,FALSE,0
"13",2023-07-01,37.2747772890665,FALSE,0
"13",2023-08-01,30.3199446292616,FALSE,0
"13",2023-09-01,27.082542588582,FALSE,0
"13",2023-10-01,29.9068967826922,FALSE,0
"13",2023-11-01,26.9262542142044,FALSE,0
"13",2023-12-01,25.006139900422,FALSE,0
"13",2024-01-01,30.9785884927103,FALSE,0
"13",2024-02-01,26.0108508785639,FALSE,0
"13",2024-03-01,21.8022282256804,FALSE,0
"13",2024-04-01,23.6218714416486,FALSE,0
"13",2024-05-01,22.3827279019402,FALSE,0
"13",2024-06-01,26.3496355901461,FALSE,0
"13",2024-07-01,27.0751574712265,FALSE,0
"13",2024-08-01,28.5097120997263,FALSE,0
"13",2024-09-01,27.8831250206114,FALSE,0
"13",2024-10-01,27.9490815552551,FALSE,0
