Model,Outcome,Coef,SE,N,CI_low,CI_high,t_stat,Sig
1. Any Legalization,Log(Filings),0.003497698740039,0.05321288960647122,116531,-0.1007995648886446,0.10779496236872259,0.065730291399429,
2. Online Legalization,Log(Filings),0.07709242712980015,0.0869379788474251,116531,-0.09330601141115304,0.24749086567075335,0.886752005876468,
3. Retail Legalization,Log(Filings),0.07841893856485146,0.05774780894186403,116531,-0.034766766961202025,0.19160464409090494,1.3579552194577202,
4a. Retail (joint),Log(Filings),0.05639793916440174,0.0929095689045162,116531,-0.12570481588844998,0.23850069421725348,0.607019705606021,
4b. Online (joint),Log(Filings),0.0568852557589548,0.11113153921804897,116531,-0.1609325611084212,0.27470307262633076,0.5118731924277713,
5. Any Legalization,Log(Rate),0.04218044894307175,0.0700024825217693,116531,-0.09502441679959608,0.17938531468573957,0.6025564726215891,
6. Online Legalization,Log(Rate),0.12374415691324285,0.10319412759195687,116531,-0.07851633316699262,0.3260046469934783,1.1991395227695854,
