"effect_size","power","mean_coef","median_coef","mean_se","n_sims","mde_80"
0,0.036,0.033080017689978,-0.00642694917501477,0.384402256320258,250,1.22435897435897
0.5,0.26,-0.511137473825723,-0.508124014936702,0.385297033126822,250,NA
1,0.66,-0.977725850035853,-0.967903172303142,0.38667876371473,250,NA
1.5,0.972,-1.52358438076031,-1.53400545293206,0.385126935906546,250,NA
2,1,-1.95373441870446,-1.94710806208233,0.384277086132901,250,NA
2.5,1,-2.49272018847595,-2.48402262043488,0.386188983899789,250,NA
3,1,-2.97533206671448,-2.99463595847683,0.386708164411697,250,NA
4,1,-3.99943905955812,-3.9979982935515,0.383922659800246,250,NA
5,1,-4.9698859059551,-4.986154327872,0.385643946912815,250,NA
