effect_pct,seed,ok,att,se,p
0,10130,TRUE,0.015058770925444906,0.17120596960470788,0.9303851577854702
0,20137,TRUE,0.12001581645260002,0.13971714133177485,0.3958763994357417
0,30144,TRUE,0.061874041851513094,0.14260330331860663,0.6668884311796228
0,40151,TRUE,-0.15772344528453766,0.1647295729246891,0.3445454338837972
0,50158,TRUE,0.05843043383154692,0.1734632965933613,0.7381361716506751
0.05,10130,TRUE,0.06384893509487706,0.17120596960470802,0.7113238248097449
0.05,20137,TRUE,0.16880598062203217,0.13971714133177485,0.2346367334691047
0.05,30144,TRUE,0.11066420602094527,0.14260330331860657,0.4426647196111476
0.05,40151,TRUE,-0.10893328111510552,0.16472957292468912,0.5125263879908205
0.05,50158,TRUE,0.10722059800097906,0.1734632965933613,0.540284734198273
0.1,10130,TRUE,0.11036895072977004,0.17120596960470802,0.5231272163926026
0.1,20137,TRUE,0.2153259962569251,0.13971714133177485,0.13178870199266524
0.1,30144,TRUE,0.1571842216558382,0.14260330331860646,0.27747220227924174
0.1,40151,TRUE,-0.06241326548021259,0.1647295729246892,0.7069401832697735
0.1,50158,TRUE,0.15374061363587202,0.17346329659336115,0.3811801338561287
0.15,10130,TRUE,0.15482071330060365,0.17120596960470802,0.3716895293854058
0.15,20137,TRUE,0.2597777588277588,0.13971714133177485,0.07094932212443417
0.15,30144,TRUE,0.20163598422667184,0.14260330331860646,0.1657319153770792
0.15,40151,TRUE,-0.017961502909378972,0.1647295729246892,0.9137629097402473
0.15,50158,TRUE,0.19819237620670563,0.1734632965933611,0.2605607402745275
0.2,10130,TRUE,0.19738032771939976,0.17120596960470802,0.25635267466431116
0.2,20137,TRUE,0.30233737324655485,0.1397171413317749,0.036997494747928704
0.2,30144,TRUE,0.244195598645468,0.14260330331860657,0.09519103399412128
0.2,40151,TRUE,0.02459811150941722,0.1647295729246891,0.8821087877100541
0.2,50158,TRUE,0.24075199062550184,0.17346329659336115,0.17346515377512003
