event_time,estimate,se,pval,significant,linear_fit,residual,abs_residual
-12,-0.13099494507795087,0.19624441839006135,0.5045100912413962,FALSE,0.02527538135167154,-0.1562703264296224,0.1562703264296224
-11,0.04690031149377996,0.12864552336088264,0.7154639288443383,FALSE,0.04028022460712391,0.006620086886656051,0.006620086886656051
-10,0.1005256449041317,0.10856178645346598,0.3545498538563987,FALSE,0.055285067862576254,0.045240577041555444,0.045240577041555444
-9,0.11540724701031126,0.12554544742219065,0.3580573761874878,FALSE,0.0702899111180286,0.04511733589228266,0.04511733589228266
-8,0.1489366767471752,0.1126341157208424,0.18619047630084457,FALSE,0.08529475437348095,0.06364192237369425,0.06364192237369425
-7,0.13295672117452045,0.08792141657055949,0.13060683649032412,FALSE,0.10029959762893331,0.03265712354558714,0.03265712354558714
-6,0.1945633896084524,0.11202729946813234,0.08255754797350974,FALSE,0.11530444088438566,0.07925894872406675,0.07925894872406675
-5,0.1832489304602884,0.098278658923478035,0.06235955335069525,FALSE,0.130309284139838,0.052939646320450395,0.052939646320450395
-4,0.06399449602663307,0.13982736831985623,0.6472318129917001,FALSE,0.14531412739529037,-0.0813196313686573,0.0813196313686573
-3,0.12734286229823386,0.13442783160572333,0.3435820946003122,FALSE,0.16031897065074271,-0.03297610835250886,0.03297610835250886
-2,0.12041423927269064,0.0832973147891346,0.14841905751130455,FALSE,0.17532381390619506,-0.05490957463350442,0.05490957463350442
