rel_time,estimate,se,t_stat,p_value,ci_lo,ci_hi
-12,-0.11997565330176999,0.056310852015677405,-2.1305955958252554,0.03312247271511109,-0.2303449232524977,-0.009606383351042275
-11,0.05565113383896912,0.03903796923557206,1.4255642629140366,0.15399415803619815,-0.020863285862752115,0.13216555354069037
-10,0.1107982600491847,0.04287608368111604,2.5841506624818837,0.009761914068667254,0.02676113603419726,0.1948353840641721
-9,0.11063036882697351,0.055538155805959874,1.9919705150724796,0.04637429306646334,0.0017755834472921589,0.21948515420665488
-8,0.14486519707288148,0.05410189472968147,2.677636297151813,0.007414367960399288,0.03882548340270579,0.25090491074305715
-7,0.12753942109898067,0.04366889930623006,2.9206007736674313,0.003493571902932009,0.04194837845876975,0.2131304637391916
-6,0.19458627214298352,0.040001193738851706,4.864511629661416,1.1473976115673561e-6,0.11618393241483417,0.2729886118711329
-5,0.18518027248261004,0.03807013885951921,4.864186946255565,1.1492824980542948e-6,0.11056280031795239,0.2597977446472677
-4,0.08069249872846923,0.044175850868165736,1.8266201361753134,0.06775690365742623,-0.005892168973135617,0.16727716643007406
-3,0.14313547569227023,0.03516903653240183,4.069928829594097,4.702750189187761e-5,0.07420416408876264,0.21206678729577783
-2,0.14181329569650372,0.029415558728457934,4.821030156374598,1.4281876287886941e-6,0.08415880058872617,0.1994677908042813
0,0.013436866766978106,0.024868582105721446,0.54031495281296,0.5889798481052451,-0.035305554160235925,0.062179287694192134
1,0.1662126813791219,0.03248219975330075,5.117038951841057,3.1036954361819766e-7,0.10254756986265243,0.22987779289559138
2,0.1461411520763783,0.05309685873253919,2.7523502437785274,0.0059169201662234395,0.042071308960601475,0.2502109951921551
3,0.11194515047128348,0.05100509328137431,2.194783761177099,0.028179112890910695,0.011975167639789841,0.21191513330277711
4,0.1775936863376097,0.041608822267511704,4.268173830920357,1.970797282801823e-5,0.09604039469328675,0.25914697798193265
5,0.12968524927518735,0.049370178519253495,2.626793201175329,0.008619369950477287,0.0329196993774505,0.2264507991729242
6,0.08249871685400995,0.0454963215734984,1.813305207998737,0.06978476049215968,-0.006674073430046917,0.1716715071380668
7,0.1383514025674519,0.04661967602740368,2.9676611756402393,0.0030007491154534103,0.046976837553740686,0.22972596758116312
8,-0.035297500947353816,0.0467422272711932,-0.7551523110476026,0.45015759885644313,-0.12691226639889247,0.05631726450418485
9,0.1557306245402516,0.04836860564300634,3.219663301639311,0.0012834123907008695,0.06092815747995918,0.25053309160054404
10,0.2391506258855788,0.05989612973649322,3.9927559082314175,6.530978848324962e-5,0.1217542116020521,0.35654704016910554
11,0.11332897886093694,0.05905584458800938,1.9190137682654886,0.054982591416679376,-0.0024204765315614385,0.22907843425343533
12,0.05935195624668892,0.05362641610284327,1.1067671599173319,0.2683946101149602,-0.0457558193148839,0.16445973180826173
13,0.08437276134358332,0.07806144763082662,1.0808505850750372,0.27976358265981394,-0.06862767601283684,0.23737319870000348
14,0.1523097703650546,0.0615309504049585,2.4753358978310316,0.013311091821467447,0.03170910757133595,0.2729104331587733
15,0.178287763915736,0.060187915283370044,2.9621854001146475,0.0030546379078107305,0.060319449960330715,0.2962560778711413
16,0.29524120661870384,0.0589261613330737,5.0103587258957045,5.432866880198219e-7,0.17974593040587938,0.4107364828315283
17,0.26459237193240864,0.04975542691310166,5.317859545141112,1.0499506659822218e-7,0.1670717351827294,0.3621130086820879
18,0.25266955568707083,0.05295094461841679,4.771766726880831,1.8261693748661215e-6,0.14888570423497394,0.35645340713916773
19,0.2681873189278928,0.04874849678754928,5.501447974830474,3.766847683219099e-8,0.17264026522429626,0.3637343726314894
20,0.25645357932646357,0.04520462455913882,5.6731713143853,1.401779197794183e-8,0.1678525151905515,0.34505464346237563
21,0.3786413081235125,0.05290337538678956,7.157224002347165,8.232711513477958e-13,0.2749506923654049,0.48233192388162005
22,0.3800884360277826,0.06195207994951965,6.135200566913809,8.505182107344821e-10,0.2586623593267241,0.5015145127288411
23,0.3692361990183018,0.05573002575569454,6.625444614666681,3.462045257869932e-11,0.2600053485371405,0.47846704949946306
24,0.3273610887304309,0.05539007727440601,5.910103484937618,3.4189287690901274e-9,0.21879653727259513,0.4359256401882667
