M,lb,ub,method,Delta,width,excludes_zero,significant,width_rel_M0,interpretation
0,-0.1073556973272638,0.3516824567617265,C-LF,DeltaSD,0.4590381540889903,FALSE,NO,1,Exact parallel trends (baseline)
0.5,-0.5810488010542583,0.827344113739944,C-LF,DeltaSD,1.4083929147942023,FALSE,NO,3.068139112726494,Violations ≤ 0.5 × max pre-trend
1,-1.075022750612676,1.316400000230491,C-LF,DeltaSD,2.3914227508431667,FALSE,NO,5.2096383046616195,Violations ≤ max pre-trend (key robustness check)
1.5,-1.5728981445493029,1.8190908976091944,C-LF,DeltaSD,3.3919890421584973,FALSE,NO,7.3893401059226935,Violations ≤ 1.5 × max pre-trend
2,-2.0742603176140433,2.3137225071669913,C-LF,DeltaSD,4.387982824781035,FALSE,NO,9.559080842614161,Violations ≤ 2 × max pre-trend (conservative)
