e,treated,y_resid_mean,y_resid_se,n_obs,ci_lo,ci_hi,group
-12,TRUE,-0.05173390085441166,0.07619976100865314,16,-0.2010854324313718,0.0976176307225485,Treated States
-11,TRUE,-0.03872970271143039,0.04627533392558386,16,-0.12942935720557475,0.05196995178271398,Treated States
-10,TRUE,-0.018896200001575714,0.04066075265904034,16,-0.09859127521329478,0.06079887521014335,Treated States
-9,TRUE,-0.023395060085944993,0.04575716116308646,16,-0.11307909596559446,0.06628897579370446,Treated States
-8,TRUE,-0.016028934393355565,0.01957957849057994,16,-0.054404908234892246,0.022347039448181116,Treated States
-7,TRUE,0.00336941430266835,0.02902788801519917,16,-0.05352524620712202,0.06026407481245872,Treated States
-6,TRUE,0.007783954449829489,0.028509487268222587,16,-0.04809464059588678,0.06366254949554576,Treated States
-5,TRUE,-0.002388797214858296,0.043081604347109184,16,-0.0868287417351923,0.0820511473054757,Treated States
-4,TRUE,-0.08541106919201417,0.06984029989978159,16,-0.22229805699558608,0.051475918611557744,Treated States
-3,TRUE,-0.02123965425731522,0.08253663847870028,16,-0.18301146567556778,0.14053215716093734,Treated States
-2,TRUE,0.007008805934356377,0.06167175243171417,16,-0.1138678288318034,0.12788544070051616,Treated States
-1,TRUE,-0.06466169147264515,0.05884601688764033,16,-0.1799998845724202,0.05067650162712989,Treated States
0,TRUE,-0.07511056457350004,0.08174146488949965,16,-0.23532383575691937,0.08510270660991928,Treated States
1,TRUE,0.017014370834198433,0.05319636797137874,16,-0.0872505103897039,0.12127925205810076,Treated States
2,TRUE,0.011416707233212975,0.0357691850477811,16,-0.058690895460437986,0.08152430992686394,Treated States
3,TRUE,-0.0030326739985188644,0.024184936679028792,16,-0.0504351498894153,0.04436980189237757,Treated States
4,TRUE,0.034959686864593796,0.02782861560958146,15,-0.019584399730185865,0.08950377345937346,Treated States
5,TRUE,0.012022764189740857,0.05561292851203883,15,-0.09697857569385525,0.12102410407333695,Treated States
6,TRUE,-0.02606464520846062,0.08169182657460264,15,-0.18618062529468177,0.13405133487776055,Treated States
7,TRUE,-0.058130060001405574,0.07359882184518571,15,-0.20238375081796955,0.08612363081515839,Treated States
8,TRUE,-0.21776938821736835,0.23339280701264783,15,-0.6752192899621581,0.23968051352742137,Treated States
9,TRUE,-0.016797349853266242,0.08028724798246913,14,-0.17416035589890574,0.14056565619237324,Treated States
10,TRUE,0.08783661262361075,0.04268952547376762,14,0.004165142695026214,0.1715080825521953,Treated States
11,TRUE,-0.15344149520760375,0.18651730823101728,14,-0.5190154193403976,0.21213242892519013,Treated States
12,TRUE,0.11050377097421345,0.09070233125949406,14,-0.0672727982943949,0.2882803402428218,Treated States
13,TRUE,0.05653508831677323,0.07273849586017314,14,-0.08603236356916613,0.1991025402027126,Treated States
14,TRUE,0.055727256227819794,0.04048505047783695,14,-0.02362344270874063,0.1350779551643802,Treated States
15,TRUE,0.07992674764420764,0.03716319775290934,14,0.0070868800485053285,0.15276661523990995,Treated States
16,TRUE,0.18564262102189347,0.1097346556479775,14,-0.029437304048142432,0.40072254609192937,Treated States
17,TRUE,0.10487714561427357,0.06461028090761366,14,-0.021759004964649206,0.23151329619319633,Treated States
18,TRUE,0.060446608332291055,0.042023571872248824,14,-0.021919592537316637,0.14281280920189876,Treated States
19,TRUE,0.07098724423503996,0.038197122878541524,14,-0.00387911660690142,0.14585360507698136,Treated States
20,TRUE,0.07820250307926901,0.042245105989616366,14,-0.004597904660379057,0.1610029108189171,Treated States
21,TRUE,0.0637558284667498,0.037062459696382534,14,-0.00888659253815996,0.13639824947165957,Treated States
22,TRUE,0.05525776110835594,0.03355127120175564,14,-0.01050273044708512,0.121018252663797,Treated States
23,TRUE,0.04356387141811398,0.032901957511783264,14,-0.020923965304981224,0.10805170814120918,Treated States
24,TRUE,0.015893483865674286,0.04624770898809109,14,-0.07475202575098425,0.10653899348233281,Treated States
