e,estimate,se,t_stat,p_value,lo,hi
-24,0.06603366303651682,0.0570989235464527,1.1564782474891193,0.2477072713101834,-0.04587817067053648,0.17794549674357013
-23,0.09114406678592846,0.07226654045269351,1.2612208390630293,0.20746537423903602,-0.05049574978865767,0.2327838833605146
-22,0.03178381196470144,0.0730437289647565,0.43513402745411706,0.6635405030165258,-0.11137926610272643,0.17494689003212932
-21,0.04974998958125795,0.04403066250498737,1.1298941862531084,0.2587382752743829,-0.036548523143955416,0.1360485023064713
-20,0.05101114107751857,0.06182987664815848,0.8250241443597942,0.4095158007202576,-0.07017319032142612,0.17219547247646327
-19,0.04280426687468704,0.06667985583352642,0.6419370039064359,0.5210321648934173,-0.08788584905334774,0.17349438280272184
-18,0.08029081914108235,0.03237403284399558,2.4800993910146696,0.013265902649633359,0.016838880732534228,0.14374275754963048
-17,0.038929118914604044,0.030740701958753405,1.266370526178534,0.20561714918783416,-0.0213215497840325,0.09917978761324059
-16,0.048272684417168324,0.025982739196156915,1.8578751090380916,0.06342249622546511,-0.002652548626996404,0.09919791746133305
-15,0.06955998178585365,0.023110444347678158,3.0098937406559276,0.0026659401337885053,0.024264343197687215,0.11485562037402008
-14,0.06946954073332569,0.029200167589923318,2.379080206282752,0.017505803984973936,0.012238263914542254,0.12670081755210913
-13,0.04425243203058464,0.030247323556236418,1.4630197593618375,0.14371416782424626,-0.015031232768368707,0.10353609682953799
-12,-0.3052607497629992,0.29689678286124077,-1.028171295159057,0.30406880657663155,-0.8871677512968397,0.27664625177084123
-11,0.042158534248038115,0.02997875847195795,1.4062801929397142,0.15989027530008085,-0.01659875265822447,0.1009158211543007
-10,0.04057438203733746,0.031415683092292486,1.2915327009805484,0.19675855155487104,-0.02099922537327971,0.10214798944795463
-9,-0.0019221440420157526,0.040442709292776276,-0.04752757853339659,0.9621003671401764,-0.08118839769308059,0.07734410960904908
-8,0.05824722091216575,0.0666383904002119,0.8740790490638941,0.3822436412383302,-0.0723616242599692,0.1888560660843007
-7,-0.041437631790492424,0.029703322311417688,-1.3950504039935012,0.16324925140664048,-0.0996550737420561,0.016779810161071253
-6,0.05811628422013257,0.04535048984242493,1.2814918741134604,0.2002593767868764,-0.03076904255226981,0.14700161099253495
-5,0.11855826238326424,0.05606621711306046,2.114611409294572,0.03466122688598859,0.00867049609226253,0.22844602867426594
-4,0.04921220594211416,0.0198349736439828,2.4810824972809242,0.013229553578685818,0.010336371965606689,0.08808803991862163
-3,0.06023712312903966,0.052280997282077156,1.1521800703998812,0.2494680971530849,-0.04223174861966798,0.16270599487774728
-2,0.04664860401945786,0.0526231781108358,0.8864649702685347,0.3755380802301841,-0.056490929829816794,0.14978813786873252
0,0.02305936543895984,0.04816700479305565,0.478737790278468,0.632209173809089,-0.07134622919859736,0.11746496007651704
1,0.0013013862194685144,0.027741706205746033,0.046910821195235756,0.962591820933099,-0.05307135881348501,0.055674131252422036
2,-0.06442126966416065,0.04771620968655778,-1.3500919307576285,0.17723168721641652,-0.15794332212857512,0.029100782800253827
3,-0.06885044216622477,0.04429608751057264,-1.5543233282124853,0.12036125839974965,-0.1556691783429816,0.01796829401053207
4,-0.05219860870726316,0.05770441711789224,-0.9045860146307255,0.3658596127513055,-0.1652971880072085,0.06089997059268218
5,-0.05348692921721171,0.0653613452774464,-0.8183266270020901,0.41332717438560973,-0.18159281194209376,0.07461895350767034
6,-0.05168421239190603,0.05085944390224926,-1.0162166242171653,0.3097235228064236,-0.1513668907140498,0.04799846593023775
7,-2.777627764917745e-4,0.03092336430859048,-0.008982294866752654,0.9928346998580088,-0.06088644310214045,0.0603309175491569
8,0.07036187786985976,0.03931566895310186,1.7896650303417632,0.0737505548077037,-0.006695417306319437,0.14741917304603896
9,0.02386903414538545,0.03410240228244889,0.6999223675708578,0.48410644156812976,-0.04297044611451088,0.09070851440528178
10,0.007428662355904683,0.036688379178139816,0.20247998200833395,0.8395745620580004,-0.06447923948439856,0.07933656419620792
11,-0.03961265156263061,0.039830199026629404,-0.9945381276188615,0.3201540485832997,-0.11767840715188653,0.038453104026625315
12,-0.026037678155107463,0.034701359421356916,-0.7503359692324504,0.45319404644081407,-0.09405109283554669,0.041975736525331764
