state_abb,n_months
AK,108
AR,108
AZ,108
CT,108
DE,108
FL,108
GA,108
ID,108
IN,108
KS,108
KY,108
MN,108
MT,108
ND,108
OH,108
OK,108
PA,108
TN,108
TX,108
UT,108
VA,108
VT,108
WV,108
MS,99
MO,97
NC,90
SC,77
NM,73
NY,72
NH,61
LA,60
NV,60
CO,59
RI,48
MA,47
WI,37
HI,33
