e,estimate,se,t_stat,p_value,lo,hi
-19,-0.06714334234850927,0.1179874328545548,-0.5690719827024125,0.5694119526287953,-0.2983944613717745,0.16410777667475596
-18,-0.3117038809305312,0.11071556029181166,-2.81535748099885,0.004950621616259138,-0.5287023916306549,-0.09470537023040748
-17,-0.07559452818038584,0.2507103106975914,-0.30152141716887143,0.7630682642366526,-0.5669777077005119,0.4157886513397402
-16,0.07890148669391647,0.1743842480487284,0.4524576478482674,0.6510197002805453,-0.2628853589526903,0.4206883323405233
-15,0.08624657572861302,0.1324494509336569,0.6511659740425303,0.5150618797108795,-0.17334957787345942,0.3458427293306855
-14,0.004972142099136958,0.18217219379894886,0.02729363903156579,0.9782299903808407,-0.3520787967314537,0.36202308092972757
-13,-0.10964225266602626,0.15071216842346136,-0.727494361025717,0.46706263750276333,-0.40503267480794525,0.1857481694758927
-12,0.05513822733974416,0.13584764338404567,0.40588284026294524,0.6848998034337346,-0.2111182610776262,0.32139471575711454
-11,0.1118150932890016,0.10313497492226799,1.0841627040029413,0.2785066924710184,-0.09032574310508523,0.31395592968308844
-10,0.09371658048126852,0.08538879096182751,1.0975279006253162,0.27262708305346844,-0.07364237448733263,0.26107553544986967
-9,-0.08257695915144939,0.08534144448812607,-0.96760676652173,0.333432413514426,-0.24984311673680074,0.08468919843390196
-8,0.0011276627364794622,0.1095128914104191,0.010297077558233258,0.9917859481003112,-0.21351366027078775,0.21576898574374667
-7,0.06239764726159267,0.103404595065588,0.6034320546588358,0.5463333806395831,-0.14027163490290792,0.2650669294260933
-6,0.10653035460898903,0.12330294496982683,0.8639725079969325,0.38777268119745945,-0.13513897671959568,0.3481996859375738
-5,0.041414114373790736,0.10354628344813982,0.39995751652962613,0.6892577657111889,-0.16153287191753918,0.24436110066512062
-4,-0.20164935066956308,0.2025346699373362,-0.9956288013896729,0.31962780125846063,-0.5986100093674491,0.19531130802832297
-3,0.09960195393835204,0.08748033236749672,1.138563963382461,0.25510840625754433,-0.07185634685753504,0.2710602547342391
-2,0.004919039349222729,0.11010688733395778,0.044675128580314166,0.9643735633825239,-0.21088649427514392,0.22072457297358936
0,0.01893317482664192,0.06856306799815404,0.2761424682330678,0.7824853745594971,-0.11544796911931068,0.15331431877259452
1,0.1875960219844761,0.059561998966502376,3.1495924455117765,0.0016746582543778054,0.07085664916291957,0.30433539480603267
2,0.13437747196363553,0.10631600016489423,1.2639440136500475,0.2064913671615931,-0.07399805933991155,0.3427530032671826
3,0.09736112512288786,0.13036517188207797,0.7468338645766219,0.4553076323780252,-0.15814991660435862,0.35287216685013434
4,0.16464789558622897,0.10843558971424626,1.5183935091801095,0.12917409843729663,-0.04788195489605557,0.3771777460685135
5,0.21142335272436336,0.11655322852874078,1.8139639321293328,0.06992864907688064,-0.017016777473834843,0.43986348292256156
6,0.2324004711036144,0.11925673228894171,1.948740894061577,0.05155516316814308,-0.0013384290966462487,0.46613937130387506
7,0.1993552863006313,0.10973444337782881,1.8167065887802174,0.06950714148614466,-0.015720270583462953,0.41443084318472556
8,-0.24184869755714267,0.4569471810838717,-0.5292705756133155,0.5967139720029642,-1.1374487153186332,0.6537513202043479
9,0.16472998229903396,0.11322174230632563,1.4549324091246616,0.14594500117155806,-0.05718055488823914,0.38664051948630707
10,0.23531979435574918,0.14143421204988643,1.6638109757542086,0.09640681274744359,-0.04188616744382906,0.5125257561553274
11,0.17381552883263304,0.15953112355067076,1.0895399277835915,0.27613084199910265,-0.13885972773989116,0.4864907854051572
12,0.21826952052183457,0.13397579130735016,1.629171347987104,0.10353469895979617,-0.04431820524082608,0.4808572462844952
13,0.1068485441363825,0.19242117419673088,0.5552847527431718,0.5788016218563712,-0.27029002715211786,0.4839871154248829
14,0.1793860546899175,0.1569144121671104,1.143209551069632,0.2531756933394424,-0.12816054181289246,0.48693265119272744
15,0.20837897312105097,0.14452980143730543,1.4417716695711522,0.14962322437101536,-0.07489423238879289,0.49165217863089483
16,0.21390676966192568,0.1418488874067521,1.507990464870883,0.13181565561644382,-0.06411194090238559,0.49192548022623694
17,0.1993829354165257,0.1207719684966432,1.6509040789714993,0.09901532438685909,-0.03732577317890093,0.43609164401195233
18,0.208173655470688,0.1671346797899087,1.2455443462264446,0.21317068533167416,-0.1194042974851674,0.5357516084265435
19,0.2227879216417905,0.1673302091458033,1.3314267804904498,0.18329713940597706,-0.10517326180953862,0.5507491050931197
20,0.29011507693302624,0.1612361753481848,1.7993175309854084,0.0722152947384208,-0.025902019754400762,0.6061321736204532
21,0.326673184201134,0.1979101872938573,1.6506132840756158,0.09907473800620865,-0.06122365506840277,0.7145700234706708
22,0.40002218182422444,0.21108099495538052,1.8951122620432188,0.058313559188592656,-0.013688966109202061,0.813733329757651
23,0.3603554778082286,0.20796265700050617,1.7327893526930245,0.08338560975842937,-0.047243840042019924,0.7679547956584771
24,0.3162770987820276,0.18569432717404977,1.7032135746698587,0.0887825908234026,-0.0476770946125073,0.6802312921765625
