"coef_name","event_time","coef","se","ci_lower","ci_upper","significant"
"event_time::-10",-10,-1.73422044660089,0.233344440554476,-2.19157555008767,-1.27686534311412,TRUE
"event_time::-8",-8,-1.92791997553824,0.297260991104895,-2.51055151810384,-1.34528843297265,TRUE
"event_time::-6",-6,-1.29910952826948,0.203562497640628,-1.69809202364511,-0.900127032893844,TRUE
"event_time::-5",-5,-1.70914818468593,0.191486423527702,-2.08446157480023,-1.33383479457164,TRUE
"event_time::-4",-4,-1.03342513381227,0.153466813805124,-1.33422008887031,-0.732630178754223,TRUE
"event_time::-3",-3,-1.07986847860084,0.142853555332086,-1.35986144705173,-0.799875510149954,TRUE
"event_time::-2",-2,-1.29115582062121,0.21472076127171,-1.71200851271376,-0.870303128528656,TRUE
"Reference",-1,0,0,0,0,FALSE
"event_time::0",0,-1.31340960238922,0.149871959696809,-1.60715864339497,-1.01966056138348,TRUE
"event_time::1",1,-0.406428180801223,0.0803456253424134,-0.563905606472353,-0.248950755130092,TRUE
"event_time::2",2,-0.801244724022063,0.202419433761113,-1.19798681419384,-0.404502633850282,TRUE
"event_time::3",3,-1.33604311980892,0.140815291440884,-1.61204109103305,-1.06004514858479,TRUE
"event_time::4",4,-0.908208390788349,0.187048705579078,-1.27482385372334,-0.541592927853356,TRUE
"event_time::5",5,-1.34698436017901,0.18434543742884,-1.70830141753953,-0.98566730281848,TRUE
"event_time::6",6,-1.36198114360586,0.166398245790772,-1.68812170535577,-1.03584058185594,TRUE
"event_time::7",7,-0.609903118358136,0.146697527168124,-0.89743027160766,-0.322375965108613,TRUE
"event_time::8",8,-0.838638189334661,0.127010194088552,-1.08757816974822,-0.5896982089211,TRUE
"event_time::9",9,-0.509363802713644,0.418103499064786,-1.32884666088062,0.310119055453337,FALSE
"event_time::10",10,-0.660253409174777,0.467940294693779,-1.57741638677458,0.256909568425029,FALSE
"event_time::11",11,-1.16901823504,0.414782696988452,-1.98199232113737,-0.356044148942638,TRUE
"event_time::12",12,-0.0766237896431306,0.137324122858886,-0.345779070446547,0.192531491160286,FALSE
"event_time::13",13,-0.776664612433959,0.105118792043004,-0.982697444838247,-0.57063178002967,TRUE
"event_time::14",14,-0.656364847962187,0.11256783076167,-0.87699779625506,-0.435731899669315,TRUE
"event_time::15",15,-0.381607449459362,0.0864389661621934,-0.551027823137261,-0.212187075781463,TRUE
"event_time::16",16,-0.754275874760818,0.12176359062,-0.992932512376018,-0.515619237145619,TRUE
"event_time::17",17,-0.226022629092782,0.0962829479305752,-0.41473720703671,-0.0373080511488546,TRUE
"event_time::18",18,-0.329975290858979,0.115042330899525,-0.555458259422047,-0.10449232229591,TRUE
"event_time::19",19,-0.332094152012007,0.183888851592027,-0.69251630113238,0.0283279971083661,FALSE
"event_time::20",20,-0.0393639987755717,0.142723437744819,-0.319101936755417,0.240373939204274,FALSE
"event_time::21",21,0.0601981607029448,0.0170418595731028,0.0267961159396633,0.0936002054662264,TRUE
"event_time::22",22,0.176718898381038,0.0538669918977293,0.0711395942614882,0.282298202500587,TRUE
"event_time::23",23,1.06525431682374,1.46232038888863e-05,1.06522565534412,1.06528297830336,TRUE
