M,lb,ub,method,Delta
0,-0.14608876774602064,0.2518462805928331,C-LF,DeltaSD
0.5,-0.6271410236079349,0.7332940699201913,C-LF,DeltaSD
1,-1.1174809037147806,1.223726965867629,C-LF,DeltaSD
1.5,-1.61368683378089,1.7191879046372933,C-LF,DeltaSD
2,-2.1128257888266315,2.2229593690398164,C-LF,DeltaSD
