state_abb,treated,n_remaining,n_obs_state,n_post_obs,mean_y,twfe_att_loo,twfe_se_loo,sa_att_post_loo,twfe_influence,twfe_pct_change,sa_influence,sa_pct_change
ID,FALSE,25,50,0,4.840303175064362,-0.06123082217377264,0.03678770876283584,-0.018303265524721567,-0.04357737676291924,-41.57821354152038,7.184373759030922e-4,4.0855524422703215
AR,TRUE,25,50,8,6.087085454361462,-0.1260471218208618,0.05560435084493015,-0.021635368677714758,0.021238922884169925,20.26456240985406,0.004050540528896283,23.03429123456312
CT,TRUE,25,50,0,7.685891809392626,-0.0926478053426438,0.05819631508107688,-0.02163449360477727,-0.01216039359404808,-11.602521288810065,0.004049665455958796,23.029314939486017
AK,FALSE,25,50,0,5.339277287952043,-0.11501718421529375,0.0588577537003531,-0.02173622008877277,0.010208985278601868,9.7406361164249,0.004151391939954296,23.60780500566466
FL,FALSE,25,50,0,9.034810210666368,-0.11466661356772835,0.05887211865902296,-0.02420480289456901,0.009858414631036469,9.406148308102617,0.006619974745750535,37.64594507109432
NY,TRUE,25,50,8,9.875769214726374,-0.09514049419700976,0.059713628739992704,-0.015184356012131547,-0.00966770473968212,-9.224187456481129,-0.002400472136686928,-13.65081373768339
ND,TRUE,25,50,0,5.278764819197308,-0.09525543318184636,0.05884398034166132,-0.008868508406084531,-0.009552765754845524,-9.114521432255273,-0.008716319742733944,-49.56727281591088
VA,TRUE,25,50,0,10.277129717205328,-0.11420739845937618,0.05896134216497611,-0.021549299939449873,0.009399199522684296,8.968000230937818,0.003964471790631398,22.544842389590087
WV,TRUE,25,50,19,7.086912388467518,-0.09567230539230474,0.058823395114807504,0.017778462318633864,-0.009135893544387139,-8.7167737229275,-0.03536329046745234,-201.101143373007
MT,TRUE,25,50,0,5.162104401369309,-0.11314409392360082,0.05920269140307123,-0.02150259560211761,0.00833589498690894,7.9534760366831,0.003917767453299133,22.279247884275563
TX,FALSE,25,50,0,9.21028013121951,-0.09663046827842804,0.05934474772599531,-0.004468260022398368,-0.00817773065826384,-7.802567681945855,-0.013116568126420107,-74.59025482316932
UT,FALSE,25,50,0,6.392695715611796,-0.1127220850277605,0.059271313057595754,-0.020827190745527118,0.00791388609106862,7.550827293434273,0.003242362596708643,18.43840934508363
KY,FALSE,25,50,0,8.171843284742714,-0.11239423688574296,0.05929921661091669,-0.022174236928198632,0.007586037949051078,7.238019569092425,0.004589408779380157,26.098684277949683
MN,FALSE,25,50,0,7.850788966370411,-0.11213066174711285,0.059334232996864376,-0.019396557747012922,0.007322462810420968,6.986536248794823,0.0018117295981944469,10.302799565978
VT,FALSE,25,50,0,4.968802025750488,-0.11059515106705825,0.05953713444145356,-0.022948312998197214,0.0057869521303663685,5.521468920443816,0.005363484849378739,30.500638413910867
OK,FALSE,25,50,0,8.218861591918646,-0.10980255496491423,0.05961648582648034,-0.01957833224842331,0.0049943560282223465,4.765234093221205,0.001993504099604835,11.336500321379475
PA,TRUE,25,50,16,9.948022821089868,-0.10185100700659491,0.060058064630785835,-0.006711590989682712,-0.0029571919300969696,-2.821527285172819,-0.010873237159135764,-61.83305897058958
AZ,TRUE,25,50,0,8.764821168986268,-0.10225572434437143,0.05988016520441802,-0.009756096276127899,-0.0025524745923204556,-2.4353768294999965,-0.007828731872690576,-44.519808817219456
NC,TRUE,25,50,0,9.561678611171931,-0.10736054853451299,0.05977048028631844,-0.01804683848050872,0.0025523495978211075,2.43525756926977,4.620103316902435e-4,2.627323552896285
DE,TRUE,25,50,21,7.9817459708725185,-0.10292569194123677,0.05957186825904543,0.013093422017203742,-0.0018825069954551132,-1.7961447811847417,-0.030678250166022217,-174.45862937297736
MS,TRUE,25,50,19,5.775609061767311,-0.1029627442352812,0.059718577707523,-0.07637490890212194,-0.001845454701410676,-1.7607923045461362,0.05879008075330346,334.32274831331557
GA,FALSE,25,50,0,7.765125740858941,-0.10630718593010609,0.05976756291413834,-0.0181040682426522,0.0014989869934142058,1.4302192086323806,5.192400938337262e-4,2.952773205626203
TN,TRUE,25,50,0,8.442480723676368,-0.1061437469644347,0.05992167652543297,-0.014736636241121757,0.001335548027742814,1.2742781970230548,-0.002848191907696718,-16.19687086841442
OH,TRUE,25,50,0,7.879838643434211,-0.10590500669240716,0.05998071322041963,-0.01078082440089336,0.0010968077557152733,1.0464904147220264,-0.006804003747925115,-38.69246654185971
IN,TRUE,25,50,6,9.402086364377185,-0.10551514322856807,0.0605229904392563,-0.013621048420319628,7.069442918761909e-4,0.6745123941145216,-0.003963779728498847,-22.540906825780798
KS,TRUE,25,50,0,5.303308359672004,-0.10509827768575777,0.05975355342114574,-0.015495194434397347,2.900787490658918e-4,0.2767710465486678,-0.0020896337144211286,-11.883162557727532
