"event_time","coef","se","ci_lower","ci_upper","significant"
-12,-0.531951467394805,0.359984372027394,-1.2375208365685,0.173617901778888,FALSE
-11,-0.396168306454398,0.351169077786317,-1.08445969891558,0.292123086006783,FALSE
-10,-0.411553384029036,0.368926488035188,-1.134649300578,0.311542532519932,FALSE
-9,-0.356865330053594,0.358932874049333,-1.06037376319029,0.346643103083099,FALSE
-8,-0.331607097843224,0.364402061261535,-1.04583513791583,0.382620942229385,FALSE
-7,-0.314672445736856,0.364695412615907,-1.02947545446403,0.400130562990322,FALSE
-6,-0.32497437800542,0.355833788904473,-1.02240860425819,0.372459848247347,FALSE
-5,-0.38814112532114,0.349917032297758,-1.07397850862474,0.297696257982466,FALSE
-4,-0.404578372101517,0.35084094730361,-1.09222662881659,0.283069884613559,FALSE
-3,-0.45938147493982,0.34418189195179,-1.13397798316533,0.215215033285688,FALSE
-2,-0.470312445592657,0.387923284202255,-1.23064208262908,0.290017191443763,FALSE
-1,0,0,0,0,FALSE
0,-0.229836318851076,0.326955364139575,-0.870668832564643,0.410996194862491,FALSE
1,-0.15315090224313,0.331487297162183,-0.802866004681008,0.496564200194748,FALSE
2,-0.209944592415224,0.343349052747314,-0.88290873579996,0.463019550969512,FALSE
3,-0.101032785050371,0.322910872814967,-0.733938095767705,0.531872525666964,FALSE
4,-0.173303281104533,0.332360146971204,-0.824729169168092,0.478122606959026,FALSE
5,-0.0799236612283434,0.289852000694501,-0.648033582589566,0.488186260132879,FALSE
6,-0.0321018698874486,0.284899915796011,-0.590505704847629,0.526301965072732,FALSE
7,-0.0447015217345066,0.29085427182871,-0.614775894518777,0.525372851049764,FALSE
8,-0.0588371702530272,0.278672916278104,-0.60503608615811,0.487361745652056,FALSE
9,-0.0103451239386864,0.249148307006605,-0.498675805671632,0.477985557794259,FALSE
10,-0.497702550876087,0.531873954956096,-1.54017550259003,0.54477040083786,FALSE
11,-0.0541880714856718,0.266572630548853,-0.576670427361423,0.468294284390079,FALSE
12,-0.124745985301136,0.30919947570948,-0.730776957691718,0.481284987089445,FALSE
13,-0.143688439799865,0.329088139296189,-0.788701192820396,0.501324313220666,FALSE
14,-0.126313034822525,0.303063200993693,-0.720316908770163,0.467690839125113,FALSE
15,-0.408578540139913,0.327416903426118,-1.0503156708551,0.233158590575278,FALSE
16,-0.345777783065456,0.327661752092564,-0.987994817166881,0.296439251035969,FALSE
17,-0.388130229526416,0.314985228380119,-1.00550127715145,0.229240818098616,FALSE
18,-0.411027426165129,0.320722976959885,-1.0396444610065,0.217589608676245,FALSE
19,-0.267994735999185,0.190113607040659,-0.640617405798876,0.104627933800506,FALSE
20,-0.197419703017302,0.150271970962005,-0.491952766102831,0.097113360068228,FALSE
21,-0.0800711766787087,0.117536938934055,-0.310443576989456,0.150301223632039,FALSE
22,-0.134544814455966,0.0985817310459605,-0.327765007306049,0.0586753783941165,FALSE
23,-0.0925402813856408,0.102572980184118,-0.293583322546512,0.10850275977523,FALSE
