egt,att,se,method,t_stat,p_value,ci_lo,ci_hi
-86,0.3848484848500676,0.08571942356821538,TWFE_SunAb,4.489629874188384,7.313969285934802e-6,0.21684150188083165,0.5528554678193036
-85,0.41515151515310034,0.09153239615412416,TWFE_SunAb,4.5355691820200965,5.894976609229939e-6,0.23575131527236448,0.5945517150338362
-84,0.2166666666675101,0.0827868050625769,TWFE_SunAb,2.617164251038992,0.008896173802322249,0.054407510349721244,0.378925822985299
-83,0.28181818181902335,0.08162790303770097,TWFE_SunAb,3.4524736190866223,5.606126052104292e-4,0.12183043173160182,0.4418059319064449
-82,0.3818181818200507,0.07988767473185586,TWFE_SunAb,4.779437918322556,1.814165515651956e-6,0.22524121653696272,0.5383951471031386
-81,0.4161616161634815,0.07612509330840406,TWFE_SunAb,5.466812559132038,4.830982880177954e-8,0.2669591749592586,0.5653640573677045
-80,0.2583333333347456,0.07672054094919939,TWFE_SunAb,3.367199059581728,7.657604404100926e-4,0.10796383619988445,0.40870283046960676
-79,0.23030303030444552,0.07363558436445175,TWFE_SunAb,3.1276051150023383,0.0017736729242497455,0.08597993696955941,0.3746261236393316
-78,0.25378787878929193,0.06940318983089924,TWFE_SunAb,3.656717787866029,2.583985293830521e-4,0.11776012630853294,0.3898156312700509
-77,0.23560606060747188,0.0653333628828588,TWFE_SunAb,3.6062135823301804,3.1408289008407175e-4,0.1075550223681827,0.36365709884676106
-76,0.2477272727286872,0.06253546535774053,TWFE_SunAb,3.961388490699445,7.56735116267069e-5,0.1251600128710636,0.3702945325863108
-75,0.22575757575898792,0.061040545299565284,TWFE_SunAb,3.698485566455051,2.1948883711699874e-4,0.10612030537515432,0.3453948461428215
-74,0.10363636363714838,0.06446500734901502,TWFE_SunAb,1.6076375059737256,0.1079850762442722,-0.022712729030030923,0.2299854563043277
-73,0.12545454545532903,0.06556073716217194,TWFE_SunAb,1.913562154510297,0.0557398017111347,-0.0030421381824246307,0.25395122909308265
-72,0.2822510822513252,0.09130043084140024,TWFE_SunAb,3.0914540013686143,0.002004030277256756,0.10330552602919083,0.4611966384734596
-71,0.2982683982686443,0.10900844944822889,TWFE_SunAb,2.7361952195302086,0.006239918897231709,0.08461576333956064,0.511921033197728
-70,0.2844155844158314,0.09719316013639764,TWFE_SunAb,2.926292179580251,0.003447532763162689,0.09392049100485803,0.47491067782680485
-69,0.3090909090918162,0.08331084813800059,TWFE_SunAb,3.710091974814868,2.0969633092771982e-4,0.14580464721984926,0.4723771709637831
-68,0.14939393939456827,0.08823759217872831,TWFE_SunAb,1.6930872172029088,0.09050840706555678,-0.023548563358272323,0.32233644214740886
-67,0.1845454545460847,0.08340666085059929,TWFE_SunAb,2.2125985222768776,0.026975591172657815,0.021071403208163225,0.3480195058840062
-66,0.2021212121218406,0.07233657045721421,TWFE_SunAb,2.794177424286263,0.005225317101081662,0.060344139260556706,0.34389828498312447
-65,0.19121212121275197,0.07148421510167427,TWFE_SunAb,2.6748859302824393,0.007502637745613885,0.05110563415035621,0.3313186082751477
-64,0.19757575757639229,0.06696654144469823,TWFE_SunAb,2.950365261726301,0.003190426176139691,0.06632374817557493,0.3288277669772096
-63,0.19393939394002815,0.06764299545886453,TWFE_SunAb,2.867102389898859,0.004161826228295247,0.06136155903424731,0.326517228845809
-62,0.20575757575820733,0.060474171415016584,TWFE_SunAb,3.4024042156138554,6.738114679275653e-4,0.08723037778987322,0.3242847737265414
-61,0.2309090909097205,0.05663468695393704,TWFE_SunAb,4.077167250832107,4.637862882235409e-5,0.11990714420430348,0.3419110376151375
-60,0.21666666666729795,0.05455576294829111,TWFE_SunAb,3.9714716641880403,7.255116708628409e-5,0.10973933613954269,0.3235939971950532
-59,0.2009090909097212,0.051880451482868815,TWFE_SunAb,3.8725393701722584,1.0924328764822418e-4,0.09922527450162072,0.3025929073178217
-58,0.230606060606691,0.053456353074396536,TWFE_SunAb,4.313913077567241,1.638448841754583e-5,0.12583353383601684,0.33537858737736514
-57,0.1790909090915418,0.05039382007690587,TWFE_SunAb,3.5538268148402254,3.835849328506979e-4,0.08032083669741483,0.27786098148566873
-56,0.19272727272790335,0.0506635095893967,TWFE_SunAb,3.8040647852836273,1.442381342201344e-4,0.0934286186022862,0.2920259268535205
-55,0.1445454545460861,0.048773297731456736,TWFE_SunAb,2.96361864522563,0.0030564578424000437,0.04895154758518182,0.2401393615069904
-54,0.15666666666729928,0.04430290820999572,TWFE_SunAb,3.5362614554489182,4.099414067809528e-4,0.06983456216532383,0.24349877116927474
-53,0.15181818181881504,0.04352315665024236,TWFE_SunAb,3.488216239434224,4.909315494503533e-4,0.0665143622908451,0.23712200134678496
-52,0.14242424242487228,0.040988891101535065,TWFE_SunAb,3.474703476902267,5.162663610519931e-4,0.062087492099629285,0.2227609927501153
-51,0.12787878787941956,0.04178279145385974,TWFE_SunAb,3.0605611408379607,0.002222313201058367,0.045986021456306536,0.20977155430253258
-50,0.15363636363699434,0.04058661096082878,TWFE_SunAb,3.785395232562603,1.5547221386142963e-4,0.07408806789923136,0.23318465937475732
-49,0.13727272727335701,0.041269895115423526,TWFE_SunAb,3.326219436454419,8.874172343505362e-4,0.05638521920138144,0.21816023534533258
-48,0.1251515151521432,0.0391293663155434,TWFE_SunAb,3.198403831610969,0.001391533476273062,0.04845936643580341,0.20184366386848301
-47,0.1261707988986089,0.03942568317056808,TWFE_SunAb,3.200218455384877,0.0013828215831135325,0.04889787981840858,0.20344371797880922
-46,0.11074380165343063,0.03810973907154343,TWFE_SunAb,2.9059186536420847,0.0036797146596615118,0.036050085612986615,0.18543751769387465
-45,0.11724941724987806,0.03872597849327649,TWFE_SunAb,3.0276682943010624,0.0024785162838205964,0.04134789413698345,0.19315094036277267
-44,0.1593073593077573,0.04012064085388373,TWFE_SunAb,3.9707082418733637,7.278323559111007e-5,0.0806723481974789,0.2379423704180357
-43,0.0945454545456426,0.04093238057011988,TWFE_SunAb,2.309796137649018,0.020944697522345606,0.014319462826720586,0.17477144626456462
-42,0.07373737373756531,0.04013207549440675,TWFE_SunAb,1.8373675627078438,0.06622185955012991,-0.004920048856314377,0.15239479633144498
-41,0.09292929292948114,0.03676509916967217,TWFE_SunAb,2.5276497283635586,0.011516996232581532,0.020871022668880274,0.164987563190082
