egt,att,se,crit_val,method,t_stat,p_value_ptwise,ci_lo,ci_hi
-83,0.12608695652173907,0.02746597682675782,2.9896302441123503,bootstrap,4.5906598304161905,3.0041034339506786e-5,0.07225463114108203,0.1799192819023961
-82,-0.026086956521739202,0.02382253092116768,2.9896302441123503,bootstrap,-1.0950539473771634,0.2787400114508355,-0.07277825914781963,0.020604346104341233
-81,0.07173913043478242,0.06754388178825123,2.9896302441123503,bootstrap,1.0621114531095979,0.29328832175302716,-0.06064444524622081,0.20412270611578565
-80,-0.067391304347826,0.03496306744018417,2.9896302441123503,bootstrap,-1.9274997670934053,0.05960792844234348,-0.13591765731963196,0.0011350486239799645
-79,-0.03913043478260873,0.03746209764465963,2.9896302441123503,bootstrap,-1.0445340021739795,0.3012622328295744,-0.11255479695146438,0.03429392738624691
-78,0.024637681159420312,0.04537180072175308,2.9896302441123503,bootstrap,0.543017485916269,0.5895304289277604,-0.06428941416894413,0.11356477648778474
-77,-0.010144927536231935,0.07891018739116146,2.9896302441123503,bootstrap,-0.12856296343516535,0.8982192130782458,-0.16480605283621502,0.14451619776375113
-76,0.05362318840579704,0.033912073428956115,2.9896302441123503,bootstrap,1.5812418110657434,0.12012866877777141,-0.012843254156034656,0.12008963096762873
-75,-0.02463768115942022,0.01743871544556047,2.9896302441123503,bootstrap,-1.4128151374642939,0.16390494174946513,-0.0588169353693611,0.009541573050520655
-74,-0.05217391304347817,0.03166995287166974,2.9896302441123503,bootstrap,-1.6474262925143215,0.10574169117056459,-0.11424588006403169,0.009898053977075355
-73,0.024999999999999932,0.04156681314406649,2.9896302441123503,bootstrap,0.601441344886181,0.5502633828976637,-0.056469456714476486,0.10646945671447636
-72,0.026086956521739087,0.02697551295485142,2.9896302441123503,bootstrap,0.9670606288525635,0.33816828511208963,-0.026784077334263332,0.07895799037774151
-71,0.01712779973649535,0.05596827814319111,2.9896302441123503,bootstrap,0.30602691926085374,0.7608547788348188,-0.09256800970087947,0.12682360917387017
-70,-0.020026350461132988,0.036489469761725075,2.9896302441123503,bootstrap,-0.5488254718937912,0.5855678397940406,-0.09154439700907746,0.05149169608681148
-69,-0.03386034255599477,0.02603441167525355,2.9896302441123503,bootstrap,-1.3005994903345557,0.19935831286352534,-0.08488685179818081,0.017166166686191267
-68,-0.031225296442687754,0.02495434517237737,2.9896302441123503,bootstrap,-1.2512969676019337,0.21664921090225703,-0.08013491423832834,0.017684321352952836
-67,0.04137022397891963,0.018866720450021388,2.9896302441123503,bootstrap,2.192761804496485,0.033005013693660185,0.004392131390492403,0.07834831656734687
-66,0.031225296442687726,0.015917717684591468,2.9896302441123503,bootstrap,1.9616691953843464,0.05538050521238212,2.7143064812159418e-5,0.06242344982056329
-65,-7.465963987702841e-4,0.016290274919575194,2.9896302441123503,bootstrap,-0.04583080411203725,0.9636276670701087,-0.032674948539393775,0.03118175574185321
-64,0.012209046991655712,0.03589534698995947,2.9896302441123503,bootstrap,0.34012895863831005,0.7351842316778252,-0.05814454032123307,0.0825626343045445
