state_abb
AK
AR
AZ
CO
CT
DE
FL
GA
HI
ID
IN
KS
KY
LA
MA
ME
MN
MO
MS
MT
NC
ND
NH
NM
NV
NY
OH
OK
PA
RI
SC
TN
TX
UT
VA
VT
WI
WV
