M,lb,ub,method,Delta
0,-0.07428736487368826,0.20503312705137955,C-LF,DeltaSD
0.5,-0.5531605172608637,0.6843684027567023,C-LF,DeltaSD
1,-1.053503076438611,1.184942023593523,C-LF,DeltaSD
1.5,-1.5525158129862062,1.6820997973767087,C-LF,DeltaSD
2,-2.0498626372177244,2.1815326460317097,C-LF,DeltaSD
