e,estimate,se,t_stat,p_value,lo,hi
-12,-0.20351025919765064,0.23881734747270328,-0.8521586113877753,0.3943633049165002,-0.6715836591275366,0.2645631407322353
-11,0.0049943066395972124,0.0482448418346956,0.1035200127033171,0.9175744018275995,-0.08956384579623744,0.099552459075431865
-10,0.04711983275685993,0.03545042694110319,1.3291753251701064,0.18414263533841868,-0.022361727284270737,0.11660139279799059
-9,0.0032091100613074464,0.042001619456275924,0.07640443637293938,0.9391151106008799,-0.07911255136535014,0.08553077148796503
-8,0.06177611995436988,0.05966925507786394,1.035309052773604,0.3008156292185702,-0.05517347098257715,0.1787257108913169
-7,-0.021407442997186582,0.02614939856179733,-0.8186590963687228,0.4132077241916068,-0.07265932239569282,0.02984443640131966
-6,0.05715665690679673,0.04567396123359882,1.2514057323486751,0.21112677594623097,-0.03236266214233555,0.14667597595592902
-5,0.11733386117417738,0.04837333772596629,2.4255895228663085,0.01548840178807562,0.022523861419290803,0.21214386092906395
-4,0.049673602890291796,0.015467222032123371,3.2115400417170132,0.0013693093478896637,0.019358404766445573,0.07998880101413802
-3,0.05349959840696225,0.054528235519580075,0.9811356978120361,0.32680175424147906,-0.05337377935193238,0.16037297616585688
-2,0.044042004084346865,0.04748507871799877,0.9274914409619197,0.35393165452307174,-0.04902704000598009,0.13711104817467382
0,0.021380720031959552,0.0494753850058764,0.43214863369774836,0.6657417194910333,-0.07558925270081117,0.11835069276473027
1,0.004221879068534773,0.02654018705921244,0.159074955241105,0.8736471686168614,-0.0477959317104776,0.056239689847547146
2,-0.07193067496006694,0.04235802883923669,-1.698159166779659,0.08983946223862092,-0.15495088594107978,0.011089536020945895
3,-0.06565855270307099,0.04196269082100255,-1.56468880852151,0.11802376606677661,-0.14790391540662545,0.016586810000483496
4,-0.05104261689452975,0.05026053030432142,-1.0155606513793805,0.3101242714319968,-0.14955144613488366,0.04746621234582416
5,-0.054820602120792566,0.06242593590203378,-0.8781702881767538,0.38009658598182827,-0.17717318818998468,0.06753198394839954
6,-0.05161356843912101,0.04653833418921946,-1.109054918666969,0.2677165289521968,-0.14282702735048017,0.03959989047223816
7,-0.005519216783393038,0.02865978786771626,-0.1925770284437501,0.8473357023906187,-0.06169136880867488,0.050652935241888804
8,0.05985045552431663,0.0397062079074664,1.5073324469512557,0.13209269837108034,-0.01797228193697699,0.13767319298561026
9,0.01018365501834144,0.04018259008642993,0.2534345097326258,0.7999930345704668,-0.06857277435659741,0.08894008439328029
10,-0.00563359853268286,0.03650627545502125,-0.15431863323400163,0.8773947125287953,-0.07718458363422305,0.06591738656885733
11,-0.0794590660664752,0.03134427693072511,-2.5350422420683034,0.011419572688521824,-0.14089271997214606,-0.018025412160804326
12,-0.04133540131093989,0.03316788745876132,-1.2462476352264973,0.21301285963754676,-0.1063432661733898,0.02367246355151001
