effect_pct,seed,ok,att,se,p
0,10130,TRUE,0.0062585612686233754,0.015368135347093291,0.6862411983843442
0,20137,TRUE,-0.008379044974096719,0.0193104887707099,0.6669420511411596
0,30144,TRUE,0.018096469038747936,0.01619484344739642,0.27121617144532073
0,40151,TRUE,0.018993811075639105,0.01362696903389537,0.1719110214338654
0,50158,TRUE,-0.04113419437811281,0.015247944261459003,0.010558687583399578
0,19523780,TRUE,0.02681957203876878,0.01935693079767623,0.1744157833746628
0,19533787,TRUE,-0.002579226234530805,0.014203549684602338,0.8569228924238648
0,19543794,TRUE,0.012862911469897566,0.01871278383908619,0.49624422546623104
0,19553801,TRUE,-0.020468159634077183,0.015694531866309924,0.2004567347944381
0,19563808,TRUE,-0.013728005950130186,0.016583681750335397,0.41323675160689044
0.03,10130,TRUE,0.03581736351016725,0.015368135349918781,0.025492215464698924
0.03,20137,TRUE,0.021179757267447134,0.019310488779827606,0.2800112626494867
0.03,30144,TRUE,0.047655271280291754,0.01619484346199347,0.005663832746246282
0.03,40151,TRUE,0.04855261331718294,0.013626969024934883,0.0010553964393537607
0.03,50158,TRUE,-0.011575392136568897,0.015247944254785078,0.45270845775301227
0.03,19523780,TRUE,0.05637837428031259,0.019356930805831618,0.0061220288139182694
0.03,19533787,TRUE,0.02697957600701301,0.014203549685591762,0.0655344056050547
0.03,19543794,TRUE,0.042421713711441454,0.0187127838344591,0.029495434142117256
0.03,19553801,TRUE,0.009090642607466587,0.015694531855035283,0.5660454246269648
0.03,19563808,TRUE,0.015830796291413665,0.016583681758025166,0.3461460322101254
0.04,10130,TRUE,0.0454792744219044,0.015368135350901828,0.005423302859105109
0.04,20137,TRUE,0.030841668179184333,0.019310488782926915,0.11897511389242035
0.04,30144,TRUE,0.057317182192028845,0.016194843466933916,0.0011281537903473132
0.04,40151,TRUE,0.058214524228919984,0.013626969021898784,1.3530199103951393e-4
0.04,50158,TRUE,-0.001913481224831771,0.015247944252526818,0.90083297173925
0.04,19523780,TRUE,0.06604028519204977,0.0193569308086065,0.00160888736824126
0.04,19533787,TRUE,0.03664148691875019,0.014203549685925241,0.01411616393208505
0.04,19543794,TRUE,0.0520836246231786,0.01871278383288882,0.008517753223307493
0.04,19553801,TRUE,0.018752553519203772,0.01569453185118701,0.23995973289611658
0.04,19563808,TRUE,0.025492707203150795,0.016583681760634655,0.132984109211308
0.05,10130,TRUE,0.05504872543805519,0.015368135351906419,0.001000409696234602
0.05,20137,TRUE,0.04041111919533518,0.01931048878605807,0.043486545564833015
0.05,30144,TRUE,0.06688663320817985,0.016194843471914914,2.0586165834145852e-4
0.05,40151,TRUE,0.06778397524507086,0.013626969018836619,1.625342931562497e-5
0.05,50158,TRUE,0.007655969791319062,0.015247944250250474,0.6186556063683953
0.05,19523780,TRUE,0.07560973620820056,0.019356930811411755,3.961872610748437e-4
0.05,19533787,TRUE,0.04621093793490095,0.014203549686260681,0.00248143604866961
0.05,19543794,TRUE,0.061653075639329355,0.018712783831303703,0.0022183280536963593
0.05,19553801,TRUE,0.028322004535354533,0.015694531847290655,0.07951189757672483
0.05,19563808,TRUE,0.03506215821930161,0.016583681763269013,0.04148616626990121
0.06,10130,TRUE,0.06452746939259893,0.01536813535293319,1.680991363745815e-4
0.06,20137,TRUE,0.04988986314987889,0.019310488789222254,0.013985416813894874
0.06,30144,TRUE,0.07636537716272357,0.016194843476938052,3.5729840063355795e-5
0.06,40151,TRUE,0.07726271919961471,0.013626969015747333,1.920042997224731e-6
0.06,50158,TRUE,0.017134713745862843,0.015247944247955293,0.2685615203332201
0.06,19523780,TRUE,0.08508848016274442,0.01935693081424866,9.356591155469589e-5
0.06,19533787,TRUE,0.055689681889444814,0.014203549686598226,3.796015743583345e-4
0.06,19543794,TRUE,0.07113181959387313,0.018712783829703084,5.361623964011489e-4
0.06,19553801,TRUE,0.037800748489898436,0.015694531843344278,0.021261665744431973
0.06,19563808,TRUE,0.044540902173845404,0.016583681765929233,0.01087471695115592
