effect_pct,effect_log,n_sims,n_ok,n_fail,fail_rate,alpha,power,mean_att,sd_att,mean_se,median_p,share_p_lt_alpha
0,0,2000,2000,0,0,0.05,0.0465,-2.6234835675000955e-4,0.0159156525206541,0.016056398141092592,0.5030999138568906,0.0465
0.03,0.02955880224154443,2000,2000,0,0,0.05,0.412,0.02929645388479385,0.0159156525206541,0.016056398141396956,0.08164853736055377,0.412
0.04,0.03922071315328133,2000,2000,0,0,0.05,0.65,0.03895836479653099,0.0159156525206541,0.016056398141500387,0.022291574671200215,0.65
0.05,0.04879016416943205,2000,2000,0,0,0.05,0.8345,0.0485278158126818,0.0159156525206541,0.01605639814160487,0.0049759571299415415,0.8345
0.06,0.058268908123975824,2000,2000,0,0,0.05,0.936,0.058006559767225574,0.0159156525206541,0.016056398141710438,9.767980587210357e-4,0.936
