M,lb,ub,method,Delta
0,-0.1073556973272638,0.3516824567617265,C-LF,DeltaSD
0.5,-0.5810488010542583,0.827344113739944,C-LF,DeltaSD
1,-1.075022750612676,1.316400000230491,C-LF,DeltaSD
1.5,-1.5728981445493029,1.8190908976091942,C-LF,DeltaSD
2,-2.0742603176140433,2.3137225071669913,C-LF,DeltaSD
