effect_pct,effect_log,n_sims,n_ok,n_fail,fail_rate,alpha,power,mean_att,sd_att,mean_se,median_p,share_p_lt_alpha
0,0,2000,2000,0,0,0.05,0.048,2.2461364864342722e-4,0.025033291445355103,0.024586165479292207,0.48128020719973486,0.048
0.06,0.058268908123975824,2000,2000,0,0,0.05,0.6275,0.05849352177261901,0.025033291445355103,0.02458616547879671,0.02232266041041959,0.6275
0.07,0.06765864847381486,2000,2000,0,0,0.05,0.7535,0.06788326212245781,0.025033291445355103,0.024586165478711453,0.008575222904028916,0.7535
0.08,0.0769610411361284,2000,2000,0,0,0.05,0.854,0.077185654784771,0.025033291445355106,0.02458616547862535,0.003196614086733888,0.854
0.09,0.08617769624105241,2000,2000,0,0,0.05,0.9195,0.08640230988969505,0.025033291445355103,0.024586165478538376,0.0011371965338606296,0.9195
0.1,0.09531017980432493,2000,2000,0,0,0.05,0.96,0.09553479345296781,0.025033291445355103,0.0245861654784505,3.921196725986778e-4,0.96
