effect_pct,seed,ok,att,se,p
0,10130,TRUE,-0.028372752950022936,0.023832564440402215,0.24163983022792596
0,20137,TRUE,-3.6993366691189287e-4,0.025606646706158972,0.9885533043279814
0,30144,TRUE,0.011877191034835035,0.02287605508853968,0.6068005037527499
0,40151,TRUE,-0.02271449794560063,0.02099753021651656,0.2865480382979687
0,50158,TRUE,-0.009990442516550398,0.02957700784081214,0.7374927968815753
0,19523780,TRUE,-0.01834796841844409,0.021958653787202638,0.40890902101322113
0,19533787,TRUE,-0.02787815313041041,0.02450766276155748,0.2628322141360493
0,19543794,TRUE,-0.015968989243762385,0.02301796617534715,0.49228404890282695
0,19553801,TRUE,-0.007851017299345573,0.024863297890512368,0.7540025488813746
0,19563808,TRUE,0.009084584018457173,0.025382195433909467,0.7224995000282931
0.06,10130,TRUE,0.02989615517395261,0.023832564451784374,0.21777147372298153
0.06,20137,TRUE,0.05789897445706376,0.025606646693048397,0.02989372603903505
0.06,30144,TRUE,0.07014609915881065,0.022876055076527103,0.004095920450784345
0.06,40151,TRUE,0.035554410178374865,0.02099753021826264,0.09904233886685242
0.06,50158,TRUE,0.04827846560742524,0.029577007845905234,0.11133488020778325
0.06,19523780,TRUE,0.03992093970553154,0.021958653798208095,0.07739267571832242
0.06,19533787,TRUE,0.030390754993565146,0.024507662736182323,0.2229786471906925
0.06,19543794,TRUE,0.04229991888021321,0.02301796615137585,0.07437230841525512
0.06,19553801,TRUE,0.05041789082463008,0.024863297904511708,0.05003107977752392
0.06,19563808,TRUE,0.0673534921424328,0.025382195421639754,0.011778962009421473
0.07,10130,TRUE,0.03928589552379145,0.02383256445375672,0.10796952228631353
0.07,20137,TRUE,0.06728871480690245,0.025606646690816193,0.01255139442655236
0.07,30144,TRUE,0.07953583950864943,0.022876055074470113,0.001343030332522977
0.07,40151,TRUE,0.044944150528213794,0.020997530218560677,0.03916482056573591
0.07,50158,TRUE,0.057668205957264004,0.029577007846758912,0.05902618308295922
0.07,19523780,TRUE,0.04931068005537032,0.021958653800122015,0.03096160284834571
0.07,19533787,TRUE,0.03978049534340402,0.024507662731779522,0.1132754315464758
0.07,19543794,TRUE,0.051689659230052004,0.023017966147255237,0.030961080381341564
0.07,19553801,TRUE,0.05980763117446876,0.02486329790693684,0.021415593515605957
0.07,19563808,TRUE,0.07674323249227158,0.02538219541955135,0.0045855467524527965
0.08,10130,TRUE,0.048588288186104674,0.02383256445575298,0.04887181098970985
0.08,20137,TRUE,0.07659110746921578,0.025606646688568623,0.004992464377459352
0.08,30144,TRUE,0.0888382321709626,0.02287605507239568,4.230064409833372e-4
0.08,40151,TRUE,0.054246543190526936,0.020997530218860905,0.01398849606748848
0.08,50158,TRUE,0.06697059861957717,0.029577007847614547,0.029677938898753586
0.08,19523780,TRUE,0.058613072717683574,0.021958653802061006,0.011331184036868305
0.08,19533787,TRUE,0.04908288800571723,0.024507662727322316,0.05277824004387897
0.08,19543794,TRUE,0.06099205189236524,0.023017966143094804,0.011890357101971923
0.08,19553801,TRUE,0.06911002383678189,0.024863297909391614,0.008598140687613769
0.08,19563808,TRUE,0.08604562515458462,0.025382195417448933,0.0017082780139249661
0.09,10130,TRUE,0.0578049432910286,0.023832564457774104,0.02043103118200782
0.09,20137,TRUE,0.08580776257413973,0.025606646686304906,0.0019017625100367075
0.09,30144,TRUE,0.09805488727588658,0.022876055070303145,1.2965503283265996e-4
0.09,40151,TRUE,0.06346319829545101,0.020997530219163542,0.004598742688482749
0.09,50158,TRUE,0.07618725372450132,0.029577007848472354,0.014248919285006654
0.09,19523780,TRUE,0.06782972782260743,0.021958653804026052,0.003857798273103465
0.09,19533787,TRUE,0.058299543110641214,0.024507662722808774,0.022793144982231506
0.09,19543794,TRUE,0.07020870699728937,0.02301796613889292,0.004274754557089938
0.09,19553801,TRUE,0.07832667894170597,0.024863297911877177,0.0032764725247224503
0.09,19563808,TRUE,0.09526228025950889,0.02538219541533185,6.155001060658658e-4
0.1,10130,TRUE,0.06693742685430148,0.02383256445982111,0.00798829384983957
0.1,20137,TRUE,0.09494024613741255,0.025606646684024313,7.008422053844012e-4
0.1,30144,TRUE,0.10718737083915941,0.022876055068191736,3.9110357908912946e-5
0.1,40151,TRUE,0.07259568185872382,0.020997530219468524,0.0014177729974600122
0.1,50158,TRUE,0.08531973728777392,0.029577007849332662,0.00657839501646934
0.1,19523780,TRUE,0.07696221138588046,0.02195865380601826,0.0012419737593432581
0.1,19533787,TRUE,0.06743202667391397,0.02450766271823657,0.009229729628085544
0.1,19543794,TRUE,0.07934119056056192,0.023017966134647842,0.001459390819852176
0.1,19553801,TRUE,0.08745916250497882,0.02486329791439508,0.0011985605189960033
0.1,19563808,TRUE,0.10439476382278158,0.025382195413199523,2.165553716513732e-4
