egt,att,se,method,t_stat,p_value,ci_lo,ci_hi
-84,-0.5436582480645196,0.2701811039079792,TWFE_SunAb,-2.012199373682638,0.04433131637078565,-1.0732034810274327,-0.014113015101606452
-83,-0.709348698346193,0.2842822283337745,TWFE_SunAb,-2.495227023172725,0.012666841275141765,-1.266531627325183,-0.15216576936720305
-82,-0.6465013164732782,0.24026842289949468,TWFE_SunAb,-2.6907460775389223,0.007187928648707529,-1.1174187719785265,-0.17558386096803003
-81,-0.6212400106041525,0.22080373516366106,TWFE_SunAb,-2.8135394093024995,0.004947317698671778,-1.0540073791768483,-0.18847264203145664
-80,-0.0018047469936666727,0.24995495264359968,TWFE_SunAb,-0.007220288994393266,0.9942398052010458,-0.4917074519325367,0.48809795794520333
-79,-0.09293262027610608,0.2669837772694742,TWFE_SunAb,-0.34808339752533574,0.7278137860312912,-0.6162112081807388,0.4303459676285267
-78,-0.0927091145638203,0.24662826226399817,TWFE_SunAb,-0.3759062879200022,0.7070259992903749,-0.5760916261709554,0.39067339704331483
-77,-0.10646180694483184,0.18184022125152388,TWFE_SunAb,-0.5854689694727792,0.5582977592652765,-0.46286209153861346,0.2499384776489498
-76,-0.0638727233310381,0.18123152052024208,TWFE_SunAb,-0.3524371651668841,0.7245471644293442,-0.41907997641414424,0.29133452975206803
-75,-0.14722293263910788,0.17876459368674139,TWFE_SunAb,-0.8235575602688661,0.41028812186573527,-0.49759509797605717,0.20314923269784144
-74,-0.16261327543895646,0.19319498866128473,TWFE_SunAb,-0.841705452950723,0.40005238049088954,-0.5412684952086985,0.21604194433078558
-73,-0.13659826341872197,0.14726137951870763,TWFE_SunAb,-0.9275905459066337,0.3537307112724307,-0.4252252635890732,0.15202873675162923
-72,-0.19015309488386783,0.1448083544852122,TWFE_SunAb,-1.3131362175880965,0.18928604923159897,-0.47397225433539286,0.09366606456765719
-71,-0.2548071373310158,0.143903601652278,TWFE_SunAb,-1.7706793603868232,0.07676467445009809,-0.5368530138150792,0.027238739153047642
-70,-0.1826906165427068,0.1566819407726291,TWFE_SunAb,-1.1659966403391728,0.24375331731289543,-0.48978157748489753,0.12440034439948394
-69,-0.8795812125303132,0.19800845676602002,TWFE_SunAb,-4.442139628256812,9.387914080322896e-6,-1.2676706564260687,-0.4914917686345577
-68,-0.6001232208420408,0.22447093812894472,TWFE_SunAb,-2.673500747331964,0.007566790864175602,-1.0400781751506911,-0.16016826653339056
-67,-0.27012690810609863,0.21575157651422885,TWFE_SunAb,-1.2520275052928,0.2107046467523585,-0.6929922276817249,0.15273841146952755
-66,-0.2740719750412674,0.20271861995592644,TWFE_SunAb,-1.351982245641047,0.1765321974480625,-0.6713931691505457,0.12324921906801095
-65,-0.2895531076203652,0.1973769305693382,TWFE_SunAb,-1.4670058288227643,0.1425299808480326,-0.6764047829153308,0.09729856767460038
-64,-0.24740085104239337,0.19513825456083328,TWFE_SunAb,-1.2678234290820076,0.20500698447109034,-0.6298648019876354,0.13506309990284868
-63,-0.24813742582711937,0.19314082769917945,TWFE_SunAb,-1.284748692356223,0.19902727434524187,-0.6266864920617671,0.1304116404075283
-62,-0.25152458327927885,0.1681215243424702,TWFE_SunAb,-1.496087929627103,0.13478680270855384,-0.5810367160164944,0.07798754945793668
-61,-0.3330467826465283,0.15363820526360114,TWFE_SunAb,-2.167734139272918,0.030295258722182923,-0.6341721316125586,-0.031921433680498046
-60,-0.32418405356753766,0.1467006019248564,TWFE_SunAb,-2.2098345154275,0.027228312547652615,-0.6117119498506034,-0.03665615728447186
-59,-0.2910910345040368,0.1449414706044642,TWFE_SunAb,-2.0083350423455077,0.04474045821286695,-0.5751710967550574,-0.007010972253016112
-58,-0.23409303291469324,0.15014364972529184,TWFE_SunAb,-1.5591270982355776,0.1191227931471501,-0.5283691788836624,0.06018311305427587
-57,-0.027231626394545627,0.14473604009147303,TWFE_SunAb,-0.18814682491890247,0.8507804349570712,-0.310909052238778,0.25644579944968676
-56,-0.11196959526405649,0.13822187076976036,TWFE_SunAb,-0.8100714788513249,0.41799441841724794,-0.3828794838485363,0.15894029332042336
-55,-0.14347133716267207,0.14343793878210012,TWFE_SunAb,-1.0002328420280961,0.31731752113410455,-0.4246045311922493,0.13766185686690513
-54,-0.16380634550363046,0.14598882452225073,TWFE_SunAb,-1.122047156963471,0.26197561361900235,-0.4499391837125797,0.12232649270531873
-53,-0.09232031179922703,0.13829080975097663,TWFE_SunAb,-0.6675809619270456,0.5044772962427135,-0.36336531830402163,0.1787246947055676
-52,-0.12468301139099568,0.13302830725790712,TWFE_SunAb,-0.9372667664579682,0.348733286292356,-0.38541370254082186,0.13604767975883048
-51,-0.08275968463726072,0.13117608516527068,TWFE_SunAb,-0.6309052792129798,0.5281737634491755,-0.33986008719415006,0.1743407179196286
-50,-0.07178435844901743,0.13195185826816191,TWFE_SunAb,-0.5440193066711662,0.586488166689138,-0.3304052483477484,0.18683653144971357
-49,-0.08366066761634428,0.13414008537326952,TWFE_SunAb,-0.623681335698744,0.5329072312631428,-0.3465704038310805,0.17924906859839196
-48,-0.07607289910306925,0.13216319019607942,TWFE_SunAb,-0.5755982357130324,0.5649508238522212,-0.33510799196930197,0.18296219376316347
-47,-0.054840078860475566,0.1279576566738728,TWFE_SunAb,-0.42857989342714464,0.6682746312465349,-0.3056324774874074,0.1959523197664563
-46,-0.08494206203550311,0.1298270279958491,TWFE_SunAb,-0.6542710200392088,0.5130116199864901,-0.33939836112724064,0.1695142370562344
-45,-0.11508600097921295,0.12548255167208994,TWFE_SunAb,-0.9171474395894883,0.3591747612490438,-0.3610272829446955,0.13085528098626958
-44,-0.021909868132901272,0.12288173942425507,TWFE_SunAb,-0.1783004393944686,0.8585048950235389,-0.26275365176207677,0.21893391549627425
-43,-0.07110267387370262,0.12432341956520046,TWFE_SunAb,-0.5719169736673255,0.5674417967970372,-0.31477209865635775,0.17256675090895252
-42,-0.09117852426175606,0.15513237689769743,TWFE_SunAb,-0.5877465818878289,0.556768034561478,-0.39523239581733643,0.21287534729382435
-41,-0.021818787601341094,0.1592510854775594,TWFE_SunAb,-0.13700872139057196,0.89103754164337,-0.333945179636267,0.29030760443358483
-40,0.002292639876641911,0.1427384653413031,TWFE_SunAb,0.0160618223767501,0.9871866555251578,-0.2774696114008308,0.28205489115411464
-39,-0.0038133289016809846,0.12527892884228325,TWFE_SunAb,-0.030438709341789463,0.9757201775527156,-0.24935551745431228,0.2417288596509503
-38,-0.05698737908137101,0.11974439409741941,TWFE_SunAb,-0.4759085342651472,0.6341909547768911,-0.2916820788628836,0.17770732070014156
-37,-0.02633737499192991,0.10853955872978491,TWFE_SunAb,-0.24265231313035118,0.80829936230293975,-0.23907100100017825,0.18639625101631846
-36,0.05521295127108071,0.10592702687136867,TWFE_SunAb,0.5212357308784655,0.6022596459723351,-0.15240020638620833,0.2628261089283697
-35,0.03228407992825884,0.07488120471360891,TWFE_SunAb,0.4311372934200607,0.6664145033890161,-0.1144803844293855,0.17904854428590317
-34,0.07882249139652708,0.11817262024566656,TWFE_SunAb,0.6670114552141153,0.5048409229707002,-0.15279158824370814,0.3104365710367623
-33,0.07681144127178072,0.10642068167272137,TWFE_SunAb,0.7217717464731263,0.4705182773024563,-0.13176926201695488,0.2853921445605163
-32,0.08517314869024978,0.10864669210566077,TWFE_SunAb,0.7839460828445419,0.433163569759366,-0.1277704548762575,0.29811675225675704
-31,0.0764100697741327,0.12053796821383445,TWFE_SunAb,0.6339087252456519,0.5262120924366026,-0.15984000669461657,0.31266014624288196
-30,-0.03712590652410157,0.12818678629801986,TWFE_SunAb,-0.2896235064181109,0.7721339760592476,-0.2883673909621529,0.21411557791394975
-29,0.08380001493657616,0.14310785154982184,TWFE_SunAb,0.5855724478359726,0.558228215236602,-0.1966862200059791,0.3642862498791314
-28,0.05749839063022358,0.1533283190325309,TWFE_SunAb,0.3750017674036094,0.7076984808576349,-0.2430195924836042,0.3580163737440514
-27,0.03917588825402062,0.11135152817069388,TWFE_SunAb,0.35182173875482703,0.725008614583085,-0.17906909658403655,0.2574208730920778
-26,0.06714279337531635,0.11151406849010115,TWFE_SunAb,0.6021015490191398,0.5471740514978377,-0.1514207646348147,0.2857063513854474
-25,0.033288214676262994,0.10616945058175975,TWFE_SunAb,0.3135385413964082,0.7539038837257624,-0.17480008472239114,0.24137651407491714
-24,0.02717460218090705,0.09376793215029929,TWFE_SunAb,0.2898069900629702,0.7719936142845814,-0.1566071677384749,0.21095637210028903
-23,0.012905094103749723,0.09729797728201736,TWFE_SunAb,0.1326347624508618,0.8944954360619358,-0.1777954371376006,0.20360562534510007
-22,-0.004016767217978223,0.07759664815405956,TWFE_SunAb,-0.05176470006801552,0.9587212962080485,-0.15610340292096136,0.14806986848500492
-21,-0.009567048945836518,0.07384697198987925,TWFE_SunAb,-0.1295523524938529,0.8969334881337268,-0.15430445441333795,0.13517035652166492
-20,0.07020470816847976,0.0687600002570917,TWFE_SunAb,1.0210108770504123,0.3073714263032086,-0.06456241591238476,0.2049718322493443
-19,0.0413218061180622,0.08214558685603765,TWFE_SunAb,0.5030313580993678,0.6149970124787671,-0.11968058560867838,0.20232419784480277
-18,-5.050725657173433e-5,0.06948271324012958,TWFE_SunAb,-7.269039192120088e-4,0.9994200863417069,-0.13623412275535005,0.13613310824220656
-17,0.025538715478449995,0.044651681278053454,TWFE_SunAb,0.5719541738958531,0.5674165984825088,-0.06197697167569616,0.11305440263259614
-16,0.02517639721781199,0.057419463301200874,TWFE_SunAb,0.4384645165655084,0.6610964275062126,-0.08736368286416103,0.137716477299785
-15,0.02061216900734304,0.04532360382787615,TWFE_SunAb,0.45477780376029114,0.6493179204166171,-0.0682204621448559,0.10944480015954199
-14,-8.826469601525017e-4,0.03704268239326951,TWFE_SunAb,-0.02382783597531465,0.9809922875996292,-0.07348497034171668,0.07171967642141168
-13,0.028793841594648022,0.036059262472004625,TWFE_SunAb,0.7985144348696187,0.42466579602552257,-0.04188101415955778,0.09946869734885383
-12,0.06317975579754158,0.04116623541329064,TWFE_SunAb,1.5347469877496693,0.12500243659303853,-0.0175045829916054,0.14386409458668856
-11,0.04241573265476005,0.026793867731235318,TWFE_SunAb,1.5830388162032063,0.11356900383441337,-0.010099283104991086,0.09493074841451118
-10,0.033476182708940705,0.03668895498747948,TWFE_SunAb,0.9124321671294489,0.36165003509692106,-0.03843284769693024,0.10538521311481165
-9,9.030969410107025e-4,0.01846853052913509,TWFE_SunAb,0.048899231023606285,0.9610044310722743,-0.035294557743472524,0.037100751625493936
-8,0.013869094485746004,0.019726744021802453,TWFE_SunAb,0.7030604984997808,0.4820989858738516,-0.02479461332922761,0.05253280230071962
-7,0.024032124361199083,0.01981338058451488,TWFE_SunAb,1.2129239762335842,0.22530057038944917,-0.014801387996435229,0.0628656367188334
-6,0.03294082069696407,0.04239986643070729,TWFE_SunAb,0.7769085959456541,0.4373035755521688,-0.05016139045653104,0.1160430318504592
-5,0.04621325121714155,0.035985868985418966,TWFE_SunAb,1.2842055095533915,0.19921717836454503,-0.024317755946656527,0.11674425838093963
-4,0.06532662855218795,0.058336214948808085,TWFE_SunAb,1.1198297422881167,0.2629193202091195,-0.04901025174186298,0.17966350884623888
-3,0.03757925134671519,0.0517488445844841,TWFE_SunAb,0.7261853215942643,0.4678092176672738,-0.06384662028043424,0.13900512297386464
-2,9.125526501986619e-4,0.03160464475897744,TWFE_SunAb,0.02887400434834653,0.976967927942703,-0.06103141282157967,0.062856518121977
-1,0,0,TWFE_SunAb,NA,NA,0,0
0,-0.02240093006307247,0.06294061210647915,TWFE_SunAb,-0.35590581841142443,0.7219482257047031,-0.14576226295667727,0.10096040283053234
1,0.0796647016439738,0.023385510380464575,TWFE_SunAb,3.40658383537025,6.706844516950966e-4,0.033829943538175665,0.12549945974977192
2,0.05172674646846143,0.016486162389955927,TWFE_SunAb,3.1375856457640845,0.0017280000360049054,0.019414461940869043,0.08403903099605382
